"","n","algo_title","problem_num","answer_percent"
"1",11,"이분 탐색","374","29.506%"
"2",11,"이분 탐색","374","25.939%"
"3",11,"이분 탐색","374","48.512%"
"4",11,"이분 탐색","374","19.856%"
"5",11,"이분 탐색","374","35.258%"
"6",11,"이분 탐색","374","30.986%"
"7",11,"이분 탐색","374","46.246%"
"8",11,"이분 탐색","374","42.722%"
"9",11,"이분 탐색","374","25.815%"
"10",11,"이분 탐색","374","46.224%"
"11",11,"이분 탐색","374","38.361%"
"12",11,"이분 탐색","374","41.749%"
"13",11,"이분 탐색","374","22.036%"
"14",11,"이분 탐색","374","20.757%"
"15",11,"이분 탐색","374","23.856%"
"16",11,"이분 탐색","374","40.663%"
"17",11,"이분 탐색","374","10.793%"
"18",11,"이분 탐색","374","65.072%"
"19",11,"이분 탐색","374","39.155%"
"20",11,"이분 탐색","374","30.367%"
"21",11,"이분 탐색","374","28.091%"
"22",11,"이분 탐색","374","29.903%"
"23",11,"이분 탐색","374","29.308%"
"24",11,"이분 탐색","374","26.703%"
"25",11,"이분 탐색","374","21.195%"
"26",11,"이분 탐색","374","31.667%"
"27",11,"이분 탐색","374","37.798%"
"28",11,"이분 탐색","374","33.136%"
"29",11,"이분 탐색","374","54.068%"
"30",11,"이분 탐색","374","24.272%"
"31",11,"이분 탐색","374","23.947%"
"32",11,"이분 탐색","374","30.218%"
"33",11,"이분 탐색","374","34.648%"
"34",11,"이분 탐색","374","31.168%"
"35",11,"이분 탐색","374","15.216%"
"36",11,"이분 탐색","374","21.706%"
"37",11,"이분 탐색","374","36.402%"
"38",11,"이분 탐색","374","38.078%"
"39",11,"이분 탐색","374","21.667%"
"40",11,"이분 탐색","374","22.941%"
"41",11,"이분 탐색","374","52.133%"
"42",11,"이분 탐색","374","53.333%"
"43",11,"이분 탐색","374","31.551%"
"44",11,"이분 탐색","374","27.937%"
"45",11,"이분 탐색","374","52.990%"
"46",11,"이분 탐색","374","41.946%"
"47",11,"이분 탐색","374","27.322%"
"48",11,"이분 탐색","374","35.399%"
"49",11,"이분 탐색","374","29.947%"
"50",11,"이분 탐색","374","31.297%"
"51",11,"이분 탐색","374","62.563%"
"52",11,"이분 탐색","374","21.560%"
"53",11,"이분 탐색","374","23.367%"
"54",11,"이분 탐색","374","54.486%"
"55",11,"이분 탐색","374","35.798%"
"56",11,"이분 탐색","374","49.534%"
"57",11,"이분 탐색","374","22.843%"
"58",11,"이분 탐색","374","32.207%"
"59",11,"이분 탐색","374","33.009%"
"60",11,"이분 탐색","374","26.581%"
"61",11,"이분 탐색","374","18.125%"
"62",11,"이분 탐색","374","46.774%"
"63",11,"이분 탐색","374","27.992%"
"64",11,"이분 탐색","374","37.284%"
"65",11,"이분 탐색","374","67.805%"
"66",11,"이분 탐색","374","29.029%"
"67",11,"이분 탐색","374","35.852%"
"68",11,"이분 탐색","374","27.232%"
"69",11,"이분 탐색","374","27.506%"
"70",11,"이분 탐색","374","30.919%"
"71",11,"이분 탐색","374","43.222%"
"72",11,"이분 탐색","374","19.264%"
"73",11,"이분 탐색","374","42.742%"
"74",11,"이분 탐색","374","62.874%"
"75",11,"이분 탐색","374","31.381%"
"76",11,"이분 탐색","374","28.032%"
"77",11,"이분 탐색","374","20.829%"
"78",11,"이분 탐색","374","41.165%"
"79",11,"이분 탐색","374","15.593%"
"80",11,"이분 탐색","374","26.991%"
"81",11,"이분 탐색","374","39.279%"
"82",11,"이분 탐색","374","25.377%"
"83",11,"이분 탐색","374","19.368%"
"84",11,"이분 탐색","374","46.094%"
"85",11,"이분 탐색","374","49.300%"
"86",11,"이분 탐색","374","22.757%"
"87",11,"이분 탐색","374","25.710%"
"88",11,"이분 탐색","374","36.170%"
"89",11,"이분 탐색","374","30.088%"
"90",11,"이분 탐색","374","23.034%"
"91",11,"이분 탐색","374","36.344%"
"92",11,"이분 탐색","374","40.299%"
"93",11,"이분 탐색","374","43.296%"
"94",11,"이분 탐색","374","41.734%"
"95",11,"이분 탐색","374","44.606%"
"96",11,"이분 탐색","374","46.319%"
"97",11,"이분 탐색","374","25.376%"
"98",11,"이분 탐색","374","37.604%"
"99",11,"이분 탐색","374","23.064%"
"100",11,"이분 탐색","374","35.754%"
"101",11,"이분 탐색","374","18.991%"
"102",11,"이분 탐색","374","35.262%"
"103",11,"이분 탐색","374","39.198%"
"104",11,"이분 탐색","374","35.475%"
"105",11,"이분 탐색","374","3.182%"
"106",11,"이분 탐색","374","21.026%"
"107",11,"이분 탐색","374","62.564%"
"108",11,"이분 탐색","374","50.206%"
"109",11,"이분 탐색","374","69.643%"
"110",11,"이분 탐색","374","45.136%"
"111",11,"이분 탐색","374","38.796%"
"112",11,"이분 탐색","374","31.421%"
"113",11,"이분 탐색","374","40.672%"
"114",11,"이분 탐색","374","33.856%"
"115",11,"이분 탐색","374","40.927%"
"116",11,"이분 탐색","374","30.233%"
"117",11,"이분 탐색","374","15.036%"
"118",11,"이분 탐색","374","38.060%"
"119",11,"이분 탐색","374","35.439%"
"120",11,"이분 탐색","374","39.676%"
"121",11,"이분 탐색","374","26.203%"
"122",11,"이분 탐색","374","19.745%"
"123",11,"이분 탐색","374","51.429%"
"124",11,"이분 탐색","374","38.095%"
"125",11,"이분 탐색","374","52.761%"
"126",11,"이분 탐색","374","44.681%"
"127",11,"이분 탐색","374","25.545%"
"128",11,"이분 탐색","374","39.706%"
"129",11,"이분 탐색","374","25.159%"
"130",11,"이분 탐색","374","70.270%"
"131",11,"이분 탐색","374","31.513%"
"132",11,"이분 탐색","374","18.227%"
"133",11,"이분 탐색","374","34.123%"
"134",11,"이분 탐색","374","55.814%"
"135",11,"이분 탐색","374","39.560%"
"136",11,"이분 탐색","374","47.651%"
"137",11,"이분 탐색","374","53.175%"
"138",11,"이분 탐색","374","32.057%"
"139",11,"이분 탐색","374","28.571%"
"140",11,"이분 탐색","374","40.741%"
"141",11,"이분 탐색","374","26.400%"
"142",11,"이분 탐색","374","35.912%"
"143",11,"이분 탐색","374","46.763%"
"144",11,"이분 탐색","374","18.182%"
"145",11,"이분 탐색","374","68.478%"
"146",11,"이분 탐색","374","35.465%"
"147",11,"이분 탐색","374","41.667%"
"148",11,"이분 탐색","374","22.093%"
"149",11,"이분 탐색","374","43.846%"
"150",11,"이분 탐색","374","10.526%"
"151",11,"이분 탐색","374","36.364%"
"152",11,"이분 탐색","374","39.286%"
"153",11,"이분 탐색","374","37.162%"
"154",11,"이분 탐색","374","36.735%"
"155",11,"이분 탐색","374","13.636%"
"156",11,"이분 탐색","374","42.742%"
"157",11,"이분 탐색","374","44.538%"
"158",11,"이분 탐색","374","36.301%"
"159",11,"이분 탐색","374","25.121%"
"160",11,"이분 탐색","374","35.862%"
"161",11,"이분 탐색","374","13.973%"
