"","n","algo_title","problem_num","answer_percent"
"1",17,"사칙연산","248","44.185%"
"2",17,"사칙연산","248","72.070%"
"3",17,"사칙연산","248","77.903%"
"4",17,"사칙연산","248","53.657%"
"5",17,"사칙연산","248","53.604%"
"6",17,"사칙연산","248","33.295%"
"7",17,"사칙연산","248","58.617%"
"8",17,"사칙연산","248","59.163%"
"9",17,"사칙연산","248","52.725%"
"10",17,"사칙연산","248","50.421%"
"11",17,"사칙연산","248","74.721%"
"12",17,"사칙연산","248","61.536%"
"13",17,"사칙연산","248","53.207%"
"14",17,"사칙연산","248","53.969%"
"15",17,"사칙연산","248","53.859%"
"16",17,"사칙연산","248","48.835%"
"17",17,"사칙연산","248","39.266%"
"18",17,"사칙연산","248","71.757%"
"19",17,"사칙연산","248","47.271%"
"20",17,"사칙연산","248","36.289%"
"21",17,"사칙연산","248","37.999%"
"22",17,"사칙연산","248","65.436%"
"23",17,"사칙연산","248","62.076%"
"24",17,"사칙연산","248","65.349%"
"25",17,"사칙연산","248","35.016%"
"26",17,"사칙연산","248","53.379%"
"27",17,"사칙연산","248","65.935%"
"28",17,"사칙연산","248","71.311%"
"29",17,"사칙연산","248","77.570%"
"30",17,"사칙연산","248","84.093%"
"31",17,"사칙연산","248","78.290%"
"32",17,"사칙연산","248","55.736%"
"33",17,"사칙연산","248","47.778%"
"34",17,"사칙연산","248","64.172%"
"35",17,"사칙연산","248","67.433%"
"36",17,"사칙연산","248","82.261%"
"37",17,"사칙연산","248","60.215%"
"38",17,"사칙연산","248","51.112%"
"39",17,"사칙연산","248","57.156%"
"40",17,"사칙연산","248","56.830%"
"41",17,"사칙연산","248","38.426%"
"42",17,"사칙연산","248","49.029%"
"43",17,"사칙연산","248","54.884%"
"44",17,"사칙연산","248","39.780%"
"45",17,"사칙연산","248","74.270%"
"46",17,"사칙연산","248","57.205%"
"47",17,"사칙연산","248","71.270%"
"48",17,"사칙연산","248","73.184%"
"49",17,"사칙연산","248","80.009%"
"50",17,"사칙연산","248","64.022%"
"51",17,"사칙연산","248","36.595%"
"52",17,"사칙연산","248","68.424%"
"53",17,"사칙연산","248","77.134%"
"54",17,"사칙연산","248","54.828%"
"55",17,"사칙연산","248","88.806%"
"56",17,"사칙연산","248","87.861%"
"57",17,"사칙연산","248","76.852%"
"58",17,"사칙연산","248","74.824%"
"59",17,"사칙연산","248","89.442%"
"60",17,"사칙연산","248","51.254%"
"61",17,"사칙연산","248","79.970%"
"62",17,"사칙연산","248","87.025%"
"63",17,"사칙연산","248","42.881%"
"64",17,"사칙연산","248","65.615%"
"65",17,"사칙연산","248","67.375%"
"66",17,"사칙연산","248","73.960%"
"67",17,"사칙연산","248","53.435%"
"68",17,"사칙연산","248","64.147%"
"69",17,"사칙연산","248","61.493%"
"70",17,"사칙연산","248","46.780%"
"71",17,"사칙연산","248","80.551%"
"72",17,"사칙연산","248","85.971%"
"73",17,"사칙연산","248","76.060%"
"74",17,"사칙연산","248","64.415%"
"75",17,"사칙연산","248","86.910%"
"76",17,"사칙연산","248","50.102%"
"77",17,"사칙연산","248","88.829%"
"78",17,"사칙연산","248","83.660%"
"79",17,"사칙연산","248","63.997%"
"80",17,"사칙연산","248","38.434%"
"81",17,"사칙연산","248","41.190%"
"82",17,"사칙연산","248","60.286%"
"83",17,"사칙연산","248","78.863%"
"84",17,"사칙연산","248","70.806%"
"85",17,"사칙연산","248","77.104%"
"86",17,"사칙연산","248","59.849%"
"87",17,"사칙연산","248","38.170%"
"88",17,"사칙연산","248","66.022%"
"89",17,"사칙연산","248","77.756%"
"90",17,"사칙연산","248","78.698%"
"91",17,"사칙연산","248","34.232%"
"92",17,"사칙연산","248","70.709%"
"93",17,"사칙연산","248","81.310%"
"94",17,"사칙연산","248","82.616%"
"95",17,"사칙연산","248","83.490%"
"96",17,"사칙연산","248","53.471%"
"97",17,"사칙연산","248","35.481%"
"98",17,"사칙연산","248","31.474%"
"99",17,"사칙연산","248","87.867%"
"100",17,"사칙연산","248","51.848%"
"101",17,"사칙연산","248","56.389%"
"102",17,"사칙연산","248","79.788%"
"103",17,"사칙연산","248","75.819%"
"104",17,"사칙연산","248","67.505%"
"105",17,"사칙연산","248","73.419%"
"106",17,"사칙연산","248","48.335%"
"107",17,"사칙연산","248","52.599%"
"108",17,"사칙연산","248","72.018%"
"109",17,"사칙연산","248","45.906%"
"110",17,"사칙연산","248","28.777%"
"111",17,"사칙연산","248","47.972%"
"112",17,"사칙연산","248","48.557%"
"113",17,"사칙연산","248","56.676%"
"114",17,"사칙연산","248","60.094%"
"115",17,"사칙연산","248","61.093%"
"116",17,"사칙연산","248","56.322%"
"117",17,"사칙연산","248","86.628%"
"118",17,"사칙연산","248","31.355%"
"119",17,"사칙연산","248","59.641%"
"120",17,"사칙연산","248","64.635%"
"121",17,"사칙연산","248","41.968%"
"122",17,"사칙연산","248","71.269%"
"123",17,"사칙연산","248","76.221%"
"124",17,"사칙연산","248","56.707%"
"125",17,"사칙연산","248","82.076%"
"126",17,"사칙연산","248","56.522%"
"127",17,"사칙연산","248","87.938%"
"128",17,"사칙연산","248","72.632%"
"129",17,"사칙연산","248","80.672%"
"130",17,"사칙연산","248","44.444%"
"131",17,"사칙연산","248","34.695%"
"132",17,"사칙연산","248","73.345%"
"133",17,"사칙연산","248","67.640%"
"134",17,"사칙연산","248","34.797%"
"135",17,"사칙연산","248","49.733%"
"136",17,"사칙연산","248","40.132%"
"137",17,"사칙연산","248","72.856%"
"138",17,"사칙연산","248","64.467%"
"139",17,"사칙연산","248","64.630%"
"140",17,"사칙연산","248","57.647%"
"141",17,"사칙연산","248","77.262%"
"142",17,"사칙연산","248","66.767%"
"143",17,"사칙연산","248","48.995%"
"144",17,"사칙연산","248","82.314%"
"145",17,"사칙연산","248","55.576%"
"146",17,"사칙연산","248","73.188%"
"147",17,"사칙연산","248","78.796%"
"148",17,"사칙연산","248","74.069%"
"149",17,"사칙연산","248","47.315%"
"150",17,"사칙연산","248","82.883%"
"151",17,"사칙연산","248","35.286%"
"152",17,"사칙연산","248","80.867%"
"153",17,"사칙연산","248","82.047%"
"154",17,"사칙연산","248","75.988%"
"155",17,"사칙연산","248","68.725%"
"156",17,"사칙연산","248","37.463%"
"157",17,"사칙연산","248","90.893%"
"158",17,"사칙연산","248","76.227%"
"159",17,"사칙연산","248","50.825%"
"160",17,"사칙연산","248","85.464%"
"161",17,"사칙연산","248","63.863%"
"162",17,"사칙연산","248","20.513%"
"163",17,"사칙연산","248","23.639%"
"164",17,"사칙연산","248","44.648%"
"165",17,"사칙연산","248","52.139%"
"166",17,"사칙연산","248","81.633%"
"167",17,"사칙연산","248","55.006%"
"168",17,"사칙연산","248","78.664%"
