"","n","algo_title","problem_num","answer_percent"
"1",21,"시뮬레이션","162","54.027%"
"2",21,"시뮬레이션","162","51.696%"
"3",21,"시뮬레이션","162","41.388%"
"4",21,"시뮬레이션","162","35.437%"
"5",21,"시뮬레이션","162","52.081%"
"6",21,"시뮬레이션","162","40.829%"
"7",21,"시뮬레이션","162","38.692%"
"8",21,"시뮬레이션","162","36.077%"
"9",21,"시뮬레이션","162","51.925%"
"10",21,"시뮬레이션","162","53.612%"
"11",21,"시뮬레이션","162","50.114%"
"12",21,"시뮬레이션","162","87.861%"
"13",21,"시뮬레이션","162","72.218%"
"14",21,"시뮬레이션","162","22.329%"
"15",21,"시뮬레이션","162","43.538%"
"16",21,"시뮬레이션","162","45.654%"
"17",21,"시뮬레이션","162","52.897%"
"18",21,"시뮬레이션","162","36.064%"
"19",21,"시뮬레이션","162","30.261%"
"20",21,"시뮬레이션","162","87.020%"
"21",21,"시뮬레이션","162","53.242%"
"22",21,"시뮬레이션","162","44.766%"
"23",21,"시뮬레이션","162","63.804%"
"24",21,"시뮬레이션","162","33.050%"
"25",21,"시뮬레이션","162","76.221%"
"26",21,"시뮬레이션","162","43.249%"
"27",21,"시뮬레이션","162","28.806%"
"28",21,"시뮬레이션","162","23.068%"
"29",21,"시뮬레이션","162","40.459%"
"30",21,"시뮬레이션","162","33.303%"
"31",21,"시뮬레이션","162","76.135%"
"32",21,"시뮬레이션","162","43.473%"
"33",21,"시뮬레이션","162","50.430%"
"34",21,"시뮬레이션","162","75.907%"
"35",21,"시뮬레이션","162","23.673%"
"36",21,"시뮬레이션","162","34.048%"
"37",21,"시뮬레이션","162","44.626%"
"38",21,"시뮬레이션","162","24.643%"
"39",21,"시뮬레이션","162","46.318%"
"40",21,"시뮬레이션","162","83.845%"
"41",21,"시뮬레이션","162","61.822%"
"42",21,"시뮬레이션","162","47.318%"
"43",21,"시뮬레이션","162","57.833%"
"44",21,"시뮬레이션","162","66.021%"
"45",21,"시뮬레이션","162","50.046%"
"46",21,"시뮬레이션","162","35.766%"
"47",21,"시뮬레이션","162","18.936%"
"48",21,"시뮬레이션","162","27.937%"
"49",21,"시뮬레이션","162","55.556%"
"50",21,"시뮬레이션","162","41.195%"
"51",21,"시뮬레이션","162","58.784%"
"52",21,"시뮬레이션","162","80.745%"
"53",21,"시뮬레이션","162","38.864%"
"54",21,"시뮬레이션","162","45.691%"
"55",21,"시뮬레이션","162","80.320%"
"56",21,"시뮬레이션","162","36.511%"
"57",21,"시뮬레이션","162","18.182%"
"58",21,"시뮬레이션","162","35.528%"
"59",21,"시뮬레이션","162","28.346%"
"60",21,"시뮬레이션","162","37.595%"
"61",21,"시뮬레이션","162","37.884%"
"62",21,"시뮬레이션","162","26.980%"
"63",21,"시뮬레이션","162","35.647%"
"64",21,"시뮬레이션","162","65.049%"
"65",21,"시뮬레이션","162","45.558%"
"66",21,"시뮬레이션","162","67.442%"
"67",21,"시뮬레이션","162","17.302%"
"68",21,"시뮬레이션","162","48.869%"
"69",21,"시뮬레이션","162","36.149%"
"70",21,"시뮬레이션","162","42.198%"
"71",21,"시뮬레이션","162","45.316%"
"72",21,"시뮬레이션","162","27.521%"
"73",21,"시뮬레이션","162","35.971%"
"74",21,"시뮬레이션","162","44.444%"
"75",21,"시뮬레이션","162","49.810%"
"76",21,"시뮬레이션","162","34.677%"
"77",21,"시뮬레이션","162","57.078%"
"78",21,"시뮬레이션","162","48.594%"
"79",21,"시뮬레이션","162","69.444%"
"80",21,"시뮬레이션","162","53.191%"
"81",21,"시뮬레이션","162","23.833%"
"82",21,"시뮬레이션","162","25.065%"
"83",21,"시뮬레이션","162","16.842%"
"84",21,"시뮬레이션","162","44.670%"
"85",21,"시뮬레이션","162","75.758%"
"86",21,"시뮬레이션","162","32.751%"
"87",21,"시뮬레이션","162","51.389%"
"88",21,"시뮬레이션","162","40.132%"
"89",21,"시뮬레이션","162","28.846%"
"90",21,"시뮬레이션","162","28.986%"
"91",21,"시뮬레이션","162","23.651%"
"92",21,"시뮬레이션","162","87.692%"
"93",21,"시뮬레이션","162","60.638%"
"94",21,"시뮬레이션","162","65.116%"
"95",21,"시뮬레이션","162","94.643%"
"96",21,"시뮬레이션","162","75.410%"
"97",21,"시뮬레이션","162","77.193%"
"98",21,"시뮬레이션","162","82.692%"
"99",21,"시뮬레이션","162","48.315%"
"100",21,"시뮬레이션","162","41.667%"
"101",21,"시뮬레이션","162","22.561%"
"102",21,"시뮬레이션","162","89.744%"
"103",21,"시뮬레이션","162","49.254%"
"104",21,"시뮬레이션","162","70.455%"
"105",21,"시뮬레이션","162","38.961%"
"106",21,"시뮬레이션","162","93.750%"
"107",21,"시뮬레이션","162","39.189%"
"108",21,"시뮬레이션","162","32.222%"
"109",21,"시뮬레이션","162","32.584%"
"110",21,"시뮬레이션","162","49.123%"
"111",21,"시뮬레이션","162","32.911%"
"112",21,"시뮬레이션","162","31.646%"
"113",21,"시뮬레이션","162","28.409%"
"114",21,"시뮬레이션","162","92.000%"
"115",21,"시뮬레이션","162","74.074%"
"116",21,"시뮬레이션","162","63.333%"
"117",21,"시뮬레이션","162","23.077%"
"118",21,"시뮬레이션","162","34.000%"
"119",21,"시뮬레이션","162","80.000%"
"120",21,"시뮬레이션","162","21.053%"
"121",21,"시뮬레이션","162","35.714%"
"122",21,"시뮬레이션","162","77.778%"
"123",21,"시뮬레이션","162","81.250%"
"124",21,"시뮬레이션","162","59.091%"
"125",21,"시뮬레이션","162","76.471%"
"126",21,"시뮬레이션","162","39.394%"
"127",21,"시뮬레이션","162","86.667%"
"128",21,"시뮬레이션","162","60.000%"
"129",21,"시뮬레이션","162","92.308%"
"130",21,"시뮬레이션","162","22.917%"
"131",21,"시뮬레이션","162","13.415%"
"132",21,"시뮬레이션","162","100.000%"
"133",21,"시뮬레이션","162","22.727%"
"134",21,"시뮬레이션","162","23.256%"
"135",21,"시뮬레이션","162","52.632%"
"136",21,"시뮬레이션","162","100.000%"
"137",21,"시뮬레이션","162","42.857%"
"138",21,"시뮬레이션","162","69.231%"
"139",21,"시뮬레이션","162","42.105%"
