"","n","algo_title","problem_num","answer_percent"
"1",23,"분할 정복","146","50.497%"
"2",23,"분할 정복","146","58.001%"
"3",23,"분할 정복","146","40.876%"
"4",23,"분할 정복","146","58.842%"
"5",23,"분할 정복","146","72.222%"
"6",23,"분할 정복","146","25.342%"
"7",23,"분할 정복","146","38.260%"
"8",23,"분할 정복","146","35.675%"
"9",23,"분할 정복","146","15.231%"
"10",23,"분할 정복","146","25.873%"
"11",23,"분할 정복","146","41.717%"
"12",23,"분할 정복","146","39.353%"
"13",23,"분할 정복","146","27.011%"
"14",23,"분할 정복","146","37.252%"
"15",23,"분할 정복","146","26.316%"
"16",23,"분할 정복","146","35.857%"
"17",23,"분할 정복","146","49.664%"
"18",23,"분할 정복","146","42.054%"
"19",23,"분할 정복","146","44.658%"
"20",23,"분할 정복","146","45.305%"
"21",23,"분할 정복","146","19.000%"
"22",23,"분할 정복","146","39.078%"
"23",23,"분할 정복","146","23.926%"
"24",23,"분할 정복","146","73.118%"
"25",23,"분할 정복","146","36.695%"
"26",23,"분할 정복","146","14.845%"
"27",23,"분할 정복","146","64.246%"
"28",23,"분할 정복","146","49.761%"
"29",23,"분할 정복","146","32.509%"
"30",23,"분할 정복","146","48.387%"
"31",23,"분할 정복","146","20.885%"
"32",23,"분할 정복","146","28.622%"
"33",23,"분할 정복","146","32.520%"
"34",23,"분할 정복","146","45.833%"
"35",23,"분할 정복","146","57.143%"
"36",23,"분할 정복","146","34.653%"
"37",23,"분할 정복","146","33.495%"
"38",23,"분할 정복","146","37.017%"
"39",23,"분할 정복","146","69.474%"
"40",23,"분할 정복","146","39.634%"
"41",23,"분할 정복","146","30.693%"
"42",23,"분할 정복","146","24.303%"
"43",23,"분할 정복","146","23.622%"
"44",23,"분할 정복","146","33.133%"
"45",23,"분할 정복","146","32.927%"
"46",23,"분할 정복","146","70.667%"
"47",23,"분할 정복","146","54.167%"
"48",23,"분할 정복","146","18.623%"
"49",23,"분할 정복","146","36.752%"
"50",23,"분할 정복","146","30.935%"
"51",23,"분할 정복","146","31.111%"
"52",23,"분할 정복","146","33.058%"
"53",23,"분할 정복","146","14.545%"
"54",23,"분할 정복","146","55.556%"
"55",23,"분할 정복","146","23.214%"
"56",23,"분할 정복","146","40.000%"
"57",23,"분할 정복","146","27.007%"
"58",23,"분할 정복","146","43.373%"
"59",23,"분할 정복","146","45.455%"
"60",23,"분할 정복","146","43.038%"
"61",23,"분할 정복","146","42.308%"
"62",23,"분할 정복","146","50.000%"
"63",23,"분할 정복","146","40.506%"
"64",23,"분할 정복","146","28.972%"
"65",23,"분할 정복","146","62.000%"
"66",23,"분할 정복","146","25.862%"
"67",23,"분할 정복","146","29.787%"
"68",23,"분할 정복","146","38.571%"
"69",23,"분할 정복","146","20.611%"
"70",23,"분할 정복","146","36.486%"
"71",23,"분할 정복","146","29.545%"
"72",23,"분할 정복","146","30.588%"
"73",23,"분할 정복","146","37.313%"
"74",23,"분할 정복","146","25.263%"
"75",23,"분할 정복","146","72.727%"
"76",23,"분할 정복","146","46.154%"
"77",23,"분할 정복","146","42.593%"
"78",23,"분할 정복","146","41.818%"
"79",23,"분할 정복","146","33.333%"
"80",23,"분할 정복","146","7.812%"
"81",23,"분할 정복","146","29.851%"
"82",23,"분할 정복","146","35.088%"
"83",23,"분할 정복","146","31.034%"
"84",23,"분할 정복","146","18.947%"
"85",23,"분할 정복","146","39.130%"
"86",23,"분할 정복","146","48.571%"
"87",23,"분할 정복","146","80.000%"
"88",23,"분할 정복","146","50.000%"
"89",23,"분할 정복","146","30.769%"
"90",23,"분할 정복","146","47.059%"
"91",23,"분할 정복","146","41.667%"
"92",23,"분할 정복","146","11.570%"
"93",23,"분할 정복","146","51.852%"
"94",23,"분할 정복","146","25.000%"
"95",23,"분할 정복","146","39.394%"
"96",23,"분할 정복","146","50.000%"
"97",23,"분할 정복","146","68.421%"
"98",23,"분할 정복","146","28.889%"
"99",23,"분할 정복","146","20.968%"
"100",23,"분할 정복","146","18.571%"
"101",23,"분할 정복","146","75.000%"
"102",23,"분할 정복","146","52.381%"
"103",23,"분할 정복","146","12.821%"
"104",23,"분할 정복","146","52.632%"
"105",23,"분할 정복","146","100.000%"
"106",23,"분할 정복","146","76.923%"
"107",23,"분할 정복","146","21.739%"
"108",23,"분할 정복","146","9.184%"
"109",23,"분할 정복","146","28.125%"
"110",23,"분할 정복","146","47.368%"
"111",23,"분할 정복","146","23.077%"
"112",23,"분할 정복","146","100.000%"
"113",23,"분할 정복","146","90.000%"
"114",23,"분할 정복","146","81.818%"
"115",23,"분할 정복","146","20.455%"
"116",23,"분할 정복","146","42.105%"
"117",23,"분할 정복","146","29.630%"
"118",23,"분할 정복","146","21.622%"
"119",23,"분할 정복","146","72.727%"
"120",23,"분할 정복","146","20.513%"
"121",23,"분할 정복","146","38.095%"
"122",23,"분할 정복","146","19.512%"
"123",23,"분할 정복","146","46.667%"
"124",23,"분할 정복","146","5.932%"
"125",23,"분할 정복","146","17.500%"
"126",23,"분할 정복","146","53.846%"
"127",23,"분할 정복","146","13.953%"
"128",23,"분할 정복","146","13.043%"
"129",23,"분할 정복","146","83.333%"
"130",23,"분할 정복","146","62.500%"
"131",23,"분할 정복","146","19.231%"
"132",23,"분할 정복","146","83.333%"
"133",23,"분할 정복","146","100.000%"
"134",23,"분할 정복","146","9.259%"
"135",23,"분할 정복","146","50.000%"
"136",23,"분할 정복","146","10.000%"
"137",23,"분할 정복","146","66.667%"
"138",23,"분할 정복","146","36.364%"
"139",23,"분할 정복","146","60.000%"
"140",23,"분할 정복","146","25.000%"
"141",23,"분할 정복","146","100.000%"
"142",23,"분할 정복","146","100.000%"
"143",23,"분할 정복","146","14.286%"
"144",23,"분할 정복","146","66.667%"
"145",23,"분할 정복","146","16.667%"
"146",23,"분할 정복","146","4.545%"
