"","n","algo_title","problem_num","answer_percent"
"1",25,"누적 합","145","60.236%"
"2",25,"누적 합","145","51.097%"
"3",25,"누적 합","145","55.665%"
"4",25,"누적 합","145","40.663%"
"5",25,"누적 합","145","34.795%"
"6",25,"누적 합","145","52.974%"
"7",25,"누적 합","145","28.091%"
"8",25,"누적 합","145","28.943%"
"9",25,"누적 합","145","42.306%"
"10",25,"누적 합","145","32.042%"
"11",25,"누적 합","145","36.936%"
"12",25,"누적 합","145","53.139%"
"13",25,"누적 합","145","49.855%"
"14",25,"누적 합","145","36.430%"
"15",25,"누적 합","145","35.399%"
"16",25,"누적 합","145","25.799%"
"17",25,"누적 합","145","44.978%"
"18",25,"누적 합","145","68.140%"
"19",25,"누적 합","145","54.486%"
"20",25,"누적 합","145","49.247%"
"21",25,"누적 합","145","44.333%"
"22",25,"누적 합","145","35.639%"
"23",25,"누적 합","145","54.280%"
"24",25,"누적 합","145","37.750%"
"25",25,"누적 합","145","42.609%"
"26",25,"누적 합","145","74.920%"
"27",25,"누적 합","145","35.816%"
"28",25,"누적 합","145","48.519%"
"29",25,"누적 합","145","43.505%"
"30",25,"누적 합","145","24.299%"
"31",25,"누적 합","145","55.486%"
"32",25,"누적 합","145","41.766%"
"33",25,"누적 합","145","65.283%"
"34",25,"누적 합","145","43.142%"
"35",25,"누적 합","145","36.344%"
"36",25,"누적 합","145","64.609%"
"37",25,"누적 합","145","51.186%"
"38",25,"누적 합","145","67.411%"
"39",25,"누적 합","145","42.216%"
"40",25,"누적 합","145","28.355%"
"41",25,"누적 합","145","25.510%"
"42",25,"누적 합","145","35.227%"
"43",25,"누적 합","145","46.591%"
"44",25,"누적 합","145","49.180%"
"45",25,"누적 합","145","47.036%"
"46",25,"누적 합","145","48.485%"
"47",25,"누적 합","145","64.368%"
"48",25,"누적 합","145","52.747%"
"49",25,"누적 합","145","54.717%"
"50",25,"누적 합","145","40.000%"
"51",25,"누적 합","145","40.594%"
"52",25,"누적 합","145","45.614%"
"53",25,"누적 합","145","18.227%"
"54",25,"누적 합","145","48.684%"
"55",25,"누적 합","145","49.655%"
"56",25,"누적 합","145","29.661%"
"57",25,"누적 합","145","40.351%"
"58",25,"누적 합","145","77.273%"
"59",25,"누적 합","145","53.175%"
"60",25,"누적 합","145","38.068%"
"61",25,"누적 합","145","37.017%"
"62",25,"누적 합","145","32.057%"
"63",25,"누적 합","145","46.763%"
"64",25,"누적 합","145","57.273%"
"65",25,"누적 합","145","45.588%"
"66",25,"누적 합","145","27.556%"
"67",25,"누적 합","145","35.465%"
"68",25,"누적 합","145","36.527%"
"69",25,"누적 합","145","41.667%"
"70",25,"누적 합","145","44.186%"
"71",25,"누적 합","145","56.000%"
"72",25,"누적 합","145","24.336%"
"73",25,"누적 합","145","49.074%"
"74",25,"누적 합","145","52.475%"
"75",25,"누적 합","145","68.421%"
"76",25,"누적 합","145","64.384%"
"77",25,"누적 합","145","45.098%"
"78",25,"누적 합","145","80.357%"
"79",25,"누적 합","145","64.286%"
"80",25,"누적 합","145","21.429%"
"81",25,"누적 합","145","42.157%"
"82",25,"누적 합","145","28.859%"
"83",25,"누적 합","145","27.273%"
"84",25,"누적 합","145","35.000%"
"85",25,"누적 합","145","66.667%"
"86",25,"누적 합","145","28.889%"
"87",25,"누적 합","145","33.051%"
"88",25,"누적 합","145","41.935%"
"89",25,"누적 합","145","32.743%"
"90",25,"누적 합","145","48.611%"
"91",25,"누적 합","145","32.381%"
"92",25,"누적 합","145","41.772%"
"93",25,"누적 합","145","68.750%"
"94",25,"누적 합","145","30.189%"
"95",25,"누적 합","145","63.265%"
"96",25,"누적 합","145","37.037%"
"97",25,"누적 합","145","60.000%"
"98",25,"누적 합","145","57.692%"
"99",25,"누적 합","145","56.863%"
"100",25,"누적 합","145","19.444%"
"101",25,"누적 합","145","29.474%"
"102",25,"누적 합","145","19.444%"
"103",25,"누적 합","145","44.262%"
"104",25,"누적 합","145","57.447%"
"105",25,"누적 합","145","54.167%"
"106",25,"누적 합","145","29.545%"
"107",25,"누적 합","145","48.148%"
"108",25,"누적 합","145","39.683%"
"109",25,"누적 합","145","61.538%"
"110",25,"누적 합","145","42.593%"
"111",25,"누적 합","145","44.681%"
"112",25,"누적 합","145","55.263%"
"113",25,"누적 합","145","50.000%"
"114",25,"누적 합","145","46.154%"
"115",25,"누적 합","145","25.758%"
"116",25,"누적 합","145","70.833%"
"117",25,"누적 합","145","35.556%"
"118",25,"누적 합","145","50.000%"
"119",25,"누적 합","145","32.500%"
"120",25,"누적 합","145","57.143%"
"121",25,"누적 합","145","71.429%"
"122",25,"누적 합","145","52.632%"
"123",25,"누적 합","145","62.500%"
"124",25,"누적 합","145","16.667%"
"125",25,"누적 합","145","62.500%"
"126",25,"누적 합","145","50.000%"
"127",25,"누적 합","145","18.367%"
"128",25,"누적 합","145","90.000%"
"129",25,"누적 합","145","18.000%"
"130",25,"누적 합","145","100.000%"
"131",25,"누적 합","145","42.105%"
"132",25,"누적 합","145","57.143%"
"133",25,"누적 합","145","72.727%"
"134",25,"누적 합","145","80.000%"
"135",25,"누적 합","145","16.667%"
"136",25,"누적 합","145","60.000%"
"137",25,"누적 합","145","29.412%"
"138",25,"누적 합","145","36.364%"
"139",25,"누적 합","145","57.143%"
"140",25,"누적 합","145","66.667%"
"141",25,"누적 합","145","100.000%"
"142",25,"누적 합","145","100.000%"
"143",25,"누적 합","145","100.000%"
"144",25,"누적 합","145","100.000%"
"145",25,"누적 합","145","100.000%"
