"","n","algo_title","problem_num","answer_percent"
"1",28,"스위핑","122","15.231%"
"2",28,"스위핑","122","40.568%"
"3",28,"스위핑","122","23.945%"
"4",28,"스위핑","122","34.058%"
"5",28,"스위핑","122","34.250%"
"6",28,"스위핑","122","34.027%"
"7",28,"스위핑","122","37.878%"
"8",28,"스위핑","122","35.545%"
"9",28,"스위핑","122","39.353%"
"10",28,"스위핑","122","29.402%"
"11",28,"스위핑","122","27.011%"
"12",28,"스위핑","122","54.486%"
"13",28,"스위핑","122","60.600%"
"14",28,"스위핑","122","26.190%"
"15",28,"스위핑","122","37.283%"
"16",28,"스위핑","122","31.882%"
"17",28,"스위핑","122","35.816%"
"18",28,"스위핑","122","35.174%"
"19",28,"스위핑","122","26.481%"
"20",28,"스위핑","122","39.498%"
"21",28,"스위핑","122","44.358%"
"22",28,"스위핑","122","64.368%"
"23",28,"스위핑","122","23.256%"
"24",28,"스위핑","122","49.223%"
"25",28,"스위핑","122","58.333%"
"26",28,"스위핑","122","20.750%"
"27",28,"스위핑","122","34.746%"
"28",28,"스위핑","122","50.968%"
"29",28,"스위핑","122","24.841%"
"30",28,"스위핑","122","18.227%"
"31",28,"스위핑","122","24.080%"
"32",28,"스위핑","122","32.287%"
"33",28,"스위핑","122","24.460%"
"34",28,"스위핑","122","14.286%"
"35",28,"스위핑","122","36.527%"
"36",28,"스위핑","122","27.778%"
"37",28,"스위핑","122","31.183%"
"38",28,"스위핑","122","33.133%"
"39",28,"스위핑","122","21.586%"
"40",28,"스위핑","122","38.532%"
"41",28,"스위핑","122","34.711%"
"42",28,"스위핑","122","33.058%"
"43",28,"스위핑","122","27.007%"
"44",28,"스위핑","122","37.500%"
"45",28,"스위핑","122","33.663%"
"46",28,"스위핑","122","22.603%"
"47",28,"스위핑","122","20.915%"
"48",28,"스위핑","122","63.265%"
"49",28,"스위핑","122","31.000%"
"50",28,"스위핑","122","18.519%"
"51",28,"스위핑","122","30.612%"
"52",28,"스위핑","122","90.323%"
"53",28,"스위핑","122","71.795%"
"54",28,"스위핑","122","56.000%"
"55",28,"스위핑","122","23.478%"
"56",28,"스위핑","122","56.522%"
"57",28,"스위핑","122","48.077%"
"58",28,"스위핑","122","38.462%"
"59",28,"스위핑","122","40.984%"
"60",28,"스위핑","122","50.000%"
"61",28,"스위핑","122","63.636%"
"62",28,"스위핑","122","21.429%"
"63",28,"스위핑","122","28.358%"
"64",28,"스위핑","122","61.290%"
"65",28,"스위핑","122","30.159%"
"66",28,"스위핑","122","86.364%"
"67",28,"스위핑","122","65.517%"
"68",28,"스위핑","122","81.818%"
"69",28,"스위핑","122","14.876%"
"70",28,"스위핑","122","39.535%"
"71",28,"스위핑","122","47.222%"
"72",28,"스위핑","122","48.485%"
"73",28,"스위핑","122","45.714%"
"74",28,"스위핑","122","6.276%"
"75",28,"스위핑","122","35.714%"
"76",28,"스위핑","122","62.500%"
"77",28,"스위핑","122","4.478%"
"78",28,"스위핑","122","34.146%"
"79",28,"스위핑","122","22.951%"
"80",28,"스위핑","122","66.667%"
"81",28,"스위핑","122","60.000%"
"82",28,"스위핑","122","60.000%"
"83",28,"스위핑","122","42.308%"
"84",28,"스위핑","122","84.615%"
"85",28,"스위핑","122","40.741%"
"86",28,"스위핑","122","10.989%"
"87",28,"스위핑","122","23.810%"
"88",28,"스위핑","122","18.868%"
"89",28,"스위핑","122","25.641%"
"90",28,"스위핑","122","47.368%"
"91",28,"스위핑","122","75.000%"
"92",28,"스위핑","122","28.125%"
"93",28,"스위핑","122","69.231%"
"94",28,"스위핑","122","21.622%"
"95",28,"스위핑","122","22.222%"
"96",28,"스위핑","122","57.143%"
"97",28,"스위핑","122","26.923%"
"98",28,"스위핑","122","58.333%"
"99",28,"스위핑","122","38.889%"
"100",28,"스위핑","122","31.579%"
"101",28,"스위핑","122","31.579%"
"102",28,"스위핑","122","20.690%"
"103",28,"스위핑","122","100.000%"
"104",28,"스위핑","122","100.000%"
"105",28,"스위핑","122","62.500%"
"106",28,"스위핑","122","71.429%"
"107",28,"스위핑","122","100.000%"
"108",28,"스위핑","122","50.000%"
"109",28,"스위핑","122","41.667%"
"110",28,"스위핑","122","50.000%"
"111",28,"스위핑","122","57.143%"
"112",28,"스위핑","122","36.364%"
"113",28,"스위핑","122","100.000%"
"114",28,"스위핑","122","66.667%"
"115",28,"스위핑","122","100.000%"
"116",28,"스위핑","122","19.048%"
"117",28,"스위핑","122","13.333%"
"118",28,"스위핑","122","10.000%"
"119",28,"스위핑","122","66.667%"
"120",28,"스위핑","122","40.000%"
"121",28,"스위핑","122","100.000%"
"122",28,"스위핑","122","50.000%"
