"","n","algo_title","problem_num","answer_percent"
"1",7,"그리디 알고리즘","515","31.878%"
"2",7,"그리디 알고리즘","515","65.051%"
"3",7,"그리디 알고리즘","515","53.484%"
"4",7,"그리디 알고리즘","515","28.449%"
"5",7,"그리디 알고리즘","515","60.387%"
"6",7,"그리디 알고리즘","515","43.306%"
"7",7,"그리디 알고리즘","515","48.548%"
"8",7,"그리디 알고리즘","515","33.712%"
"9",7,"그리디 알고리즘","515","57.205%"
"10",7,"그리디 알고리즘","515","42.410%"
"11",7,"그리디 알고리즘","515","40.464%"
"12",7,"그리디 알고리즘","515","56.720%"
"13",7,"그리디 알고리즘","515","27.457%"
"14",7,"그리디 알고리즘","515","43.178%"
"15",7,"그리디 알고리즘","515","36.961%"
"16",7,"그리디 알고리즘","515","41.190%"
"17",7,"그리디 알고리즘","515","39.530%"
"18",7,"그리디 알고리즘","515","23.557%"
"19",7,"그리디 알고리즘","515","25.959%"
"20",7,"그리디 알고리즘","515","29.082%"
"21",7,"그리디 알고리즘","515","39.529%"
"22",7,"그리디 알고리즘","515","45.638%"
"23",7,"그리디 알고리즘","515","36.154%"
"24",7,"그리디 알고리즘","515","41.426%"
"25",7,"그리디 알고리즘","515","22.951%"
"26",7,"그리디 알고리즘","515","26.693%"
"27",7,"그리디 알고리즘","515","39.697%"
"28",7,"그리디 알고리즘","515","44.274%"
"29",7,"그리디 알고리즘","515","60.202%"
"30",7,"그리디 알고리즘","515","28.500%"
"31",7,"그리디 알고리즘","515","40.296%"
"32",7,"그리디 알고리즘","515","21.867%"
"33",7,"그리디 알고리즘","515","37.286%"
"34",7,"그리디 알고리즘","515","44.051%"
"35",7,"그리디 알고리즘","515","56.781%"
"36",7,"그리디 알고리즘","515","23.945%"
"37",7,"그리디 알고리즘","515","55.410%"
"38",7,"그리디 알고리즘","515","47.447%"
"39",7,"그리디 알고리즘","515","49.868%"
"40",7,"그리디 알고리즘","515","61.709%"
"41",7,"그리디 알고리즘","515","30.158%"
"42",7,"그리디 알고리즘","515","52.399%"
"43",7,"그리디 알고리즘","515","34.090%"
"44",7,"그리디 알고리즘","515","28.824%"
"45",7,"그리디 알고리즘","515","31.837%"
"46",7,"그리디 알고리즘","515","26.547%"
"47",7,"그리디 알고리즘","515","36.412%"
"48",7,"그리디 알고리즘","515","30.851%"
"49",7,"그리디 알고리즘","515","33.710%"
"50",7,"그리디 알고리즘","515","38.903%"
"51",7,"그리디 알고리즘","515","41.673%"
"52",7,"그리디 알고리즘","515","31.085%"
"53",7,"그리디 알고리즘","515","61.092%"
"54",7,"그리디 알고리즘","515","38.506%"
"55",7,"그리디 알고리즘","515","40.564%"
"56",7,"그리디 알고리즘","515","74.590%"
"57",7,"그리디 알고리즘","515","36.628%"
"58",7,"그리디 알고리즘","515","42.315%"
"59",7,"그리디 알고리즘","515","47.275%"
"60",7,"그리디 알고리즘","515","49.648%"
"61",7,"그리디 알고리즘","515","50.552%"
"62",7,"그리디 알고리즘","515","30.298%"
"63",7,"그리디 알고리즘","515","58.533%"
"64",7,"그리디 알고리즘","515","27.691%"
"65",7,"그리디 알고리즘","515","24.679%"
"66",7,"그리디 알고리즘","515","21.163%"
"67",7,"그리디 알고리즘","515","24.466%"
"68",7,"그리디 알고리즘","515","39.407%"
"69",7,"그리디 알고리즘","515","49.264%"
"70",7,"그리디 알고리즘","515","46.871%"
"71",7,"그리디 알고리즘","515","45.812%"
"72",7,"그리디 알고리즘","515","42.379%"
"73",7,"그리디 알고리즘","515","37.445%"
"74",7,"그리디 알고리즘","515","41.315%"
"75",7,"그리디 알고리즘","515","29.609%"
