"","n","algo_title","problem_num","answer_percent"
"1",8,"문자열","469","62.121%"
"2",8,"문자열","469","50.421%"
"3",8,"문자열","469","61.536%"
"4",8,"문자열","469","27.222%"
"5",8,"문자열","469","52.574%"
"6",8,"문자열","469","54.865%"
"7",8,"문자열","469","51.664%"
"8",8,"문자열","469","38.660%"
"9",8,"문자열","469","57.511%"
"10",8,"문자열","469","40.724%"
"11",8,"문자열","469","52.032%"
"12",8,"문자열","469","45.504%"
"13",8,"문자열","469","65.935%"
"14",8,"문자열","469","82.547%"
"15",8,"문자열","469","69.559%"
"16",8,"문자열","469","67.328%"
"17",8,"문자열","469","40.722%"
"18",8,"문자열","469","68.357%"
"19",8,"문자열","469","80.635%"
"20",8,"문자열","469","48.548%"
"21",8,"문자열","469","50.370%"
"22",8,"문자열","469","58.311%"
"23",8,"문자열","469","68.151%"
"24",8,"문자열","469","67.216%"
"25",8,"문자열","469","33.196%"
"26",8,"문자열","469","61.878%"
"27",8,"문자열","469","52.181%"
"28",8,"문자열","469","38.426%"
"29",8,"문자열","469","28.112%"
"30",8,"문자열","469","41.581%"
"31",8,"문자열","469","80.992%"
"32",8,"문자열","469","62.108%"
"33",8,"문자열","469","52.194%"
"34",8,"문자열","469","40.747%"
"35",8,"문자열","469","62.524%"
"36",8,"문자열","469","29.872%"
"37",8,"문자열","469","21.258%"
"38",8,"문자열","469","28.168%"
"39",8,"문자열","469","49.860%"
"40",8,"문자열","469","51.254%"
"41",8,"문자열","469","66.899%"
"42",8,"문자열","469","76.649%"
"43",8,"문자열","469","77.103%"
"44",8,"문자열","469","64.415%"
"45",8,"문자열","469","70.744%"
"46",8,"문자열","469","62.685%"
"47",8,"문자열","469","46.915%"
"48",8,"문자열","469","46.893%"
"49",8,"문자열","469","78.863%"
"50",8,"문자열","469","34.299%"
"51",8,"문자열","469","70.806%"
"52",8,"문자열","469","38.088%"
"53",8,"문자열","469","51.965%"
"54",8,"문자열","469","39.349%"
"55",8,"문자열","469","49.276%"
"56",8,"문자열","469","58.752%"
"57",8,"문자열","469","26.353%"
"58",8,"문자열","469","71.245%"
"59",8,"문자열","469","74.799%"
"60",8,"문자열","469","39.555%"
"61",8,"문자열","469","55.301%"
"62",8,"문자열","469","33.178%"
"63",8,"문자열","469","37.798%"
"64",8,"문자열","469","68.630%"
"65",8,"문자열","469","34.258%"
"66",8,"문자열","469","84.296%"
"67",8,"문자열","469","41.426%"
"68",8,"문자열","469","33.136%"
"69",8,"문자열","469","77.794%"
"70",8,"문자열","469","56.909%"
"71",8,"문자열","469","51.155%"
"72",8,"문자열","469","64.673%"
"73",8,"문자열","469","44.274%"
"74",8,"문자열","469","55.488%"
"75",8,"문자열","469","41.968%"
"76",8,"문자열","469","58.128%"
"77",8,"문자열","469","52.469%"
"78",8,"문자열","469","52.623%"
"79",8,"문자열","469","66.618%"
"80",8,"문자열","469","67.862%"
"81",8,"문자열","469","33.208%"
"82",8,"문자열","469","75.687%"
"83",8,"문자열","469","65.240%"
"84",8,"문자열","469","55.966%"
"85",8,"문자열","469","67.640%"
"86",8,"문자열","469","62.587%"
"87",8,"문자열","469","40.132%"
"88",8,"문자열","469","65.555%"
"89",8,"문자열","469","52.438%"
"90",8,"문자열","469","19.638%"
"91",8,"문자열","469","54.825%"
"92",8,"문자열","469","59.745%"
"93",8,"문자열","469","62.106%"
"94",8,"문자열","469","21.742%"
"95",8,"문자열","469","29.187%"
"96",8,"문자열","469","69.632%"
"97",8,"문자열","469","35.972%"
"98",8,"문자열","469","36.125%"
"99",8,"문자열","469","37.796%"
"100",8,"문자열","469","57.059%"
"101",8,"문자열","469","30.014%"
"102",8,"문자열","469","59.630%"
"103",8,"문자열","469","90.073%"
"104",8,"문자열","469","72.912%"
"105",8,"문자열","469","28.618%"
"106",8,"문자열","469","50.207%"
"107",8,"문자열","469","63.197%"
"108",8,"문자열","469","42.158%"
"109",8,"문자열","469","53.333%"
"110",8,"문자열","469","61.002%"
"111",8,"문자열","469","38.723%"
"112",8,"문자열","469","69.654%"
"113",8,"문자열","469","40.464%"
"114",8,"문자열","469","31.188%"
"115",8,"문자열","469","46.034%"
"116",8,"문자열","469","45.691%"
"117",8,"문자열","469","78.662%"
"118",8,"문자열","469","68.580%"
"119",8,"문자열","469","48.344%"
"120",8,"문자열","469","33.309%"
"121",8,"문자열","469","35.239%"
"122",8,"문자열","469","47.469%"
"123",8,"문자열","469","24.206%"
"124",8,"문자열","469","19.695%"
"125",8,"문자열","469","66.443%"
"126",8,"문자열","469","32.986%"
"127",8,"문자열","469","79.958%"
"128",8,"문자열","469","46.871%"
"129",8,"문자열","469","72.912%"
"130",8,"문자열","469","37.844%"
"131",8,"문자열","469","61.224%"
"132",8,"문자열","469","83.636%"
"133",8,"문자열","469","42.799%"
"134",8,"문자열","469","41.114%"
"135",8,"문자열","469","49.587%"
"136",8,"문자열","469","25.106%"
"137",8,"문자열","469","32.248%"
"138",8,"문자열","469","60.996%"
"139",8,"문자열","469","30.736%"
"140",8,"문자열","469","67.805%"
"141",8,"문자열","469","49.908%"
