"","n","algo_title","problem_num","answer_percent"
"1",9,"세그먼트 트리","431","29.864%"
"2",9,"세그먼트 트리","431","49.895%"
"3",9,"세그먼트 트리","431","25.342%"
"4",9,"세그먼트 트리","431","46.410%"
"5",9,"세그먼트 트리","431","32.107%"
"6",9,"세그먼트 트리","431","34.737%"
"7",9,"세그먼트 트리","431","26.755%"
"8",9,"세그먼트 트리","431","28.265%"
"9",9,"세그먼트 트리","431","34.168%"
"10",9,"세그먼트 트리","431","43.123%"
"11",9,"세그먼트 트리","431","37.798%"
"12",9,"세그먼트 트리","431","43.803%"
"13",9,"세그먼트 트리","431","41.514%"
"14",9,"세그먼트 트리","431","31.168%"
"15",9,"세그먼트 트리","431","31.566%"
"16",9,"세그먼트 트리","431","31.900%"
"17",9,"세그먼트 트리","431","21.742%"
"18",9,"세그먼트 트리","431","36.936%"
"19",9,"세그먼트 트리","431","59.170%"
"20",9,"세그먼트 트리","431","34.058%"
"21",9,"세그먼트 트리","431","41.047%"
"22",9,"세그먼트 트리","431","16.021%"
"23",9,"세그먼트 트리","431","31.389%"
"24",9,"세그먼트 트리","431","34.027%"
"25",9,"세그먼트 트리","431","45.266%"
"26",9,"세그먼트 트리","431","53.333%"
"27",9,"세그먼트 트리","431","68.568%"
"28",9,"세그먼트 트리","431","44.417%"
"29",9,"세그먼트 트리","431","31.551%"
"30",9,"세그먼트 트리","431","41.038%"
"31",9,"세그먼트 트리","431","57.881%"
"32",9,"세그먼트 트리","431","63.623%"
"33",9,"세그먼트 트리","431","63.208%"
"34",9,"세그먼트 트리","431","37.994%"
"35",9,"세그먼트 트리","431","34.011%"
"36",9,"세그먼트 트리","431","27.011%"
"37",9,"세그먼트 트리","431","52.168%"
"38",9,"세그먼트 트리","431","24.242%"
"39",9,"세그먼트 트리","431","49.534%"
"40",9,"세그먼트 트리","431","37.252%"
"41",9,"세그먼트 트리","431","59.020%"
"42",9,"세그먼트 트리","431","48.203%"
"43",9,"세그먼트 트리","431","67.805%"
"44",9,"세그먼트 트리","431","45.124%"
"45",9,"세그먼트 트리","431","59.251%"
"46",9,"세그먼트 트리","431","34.232%"
"47",9,"세그먼트 트리","431","19.297%"
"48",9,"세그먼트 트리","431","51.732%"
"49",9,"세그먼트 트리","431","30.063%"
"50",9,"세그먼트 트리","431","35.816%"
"51",9,"세그먼트 트리","431","49.664%"
"52",9,"세그먼트 트리","431","23.195%"
"53",9,"세그먼트 트리","431","42.147%"
"54",9,"세그먼트 트리","431","38.104%"
"55",9,"세그먼트 트리","431","54.155%"
"56",9,"세그먼트 트리","431","65.068%"
"57",9,"세그먼트 트리","431","42.889%"
"58",9,"세그먼트 트리","431","63.605%"
"59",9,"세그먼트 트리","431","33.826%"
"60",9,"세그먼트 트리","431","54.908%"
"61",9,"세그먼트 트리","431","62.868%"
"62",9,"세그먼트 트리","431","23.034%"
"63",9,"세그먼트 트리","431","24.256%"
