"","n","algo_title","problem_num","answer_percent"
"1",10,"브루트포스 알고리즘","426","51.066%"
"2",10,"브루트포스 알고리즘","426","44.580%"
"3",10,"브루트포스 알고리즘","426","42.442%"
"4",10,"브루트포스 알고리즘","426","48.712%"
"5",10,"브루트포스 알고리즘","426","47.674%"
"6",10,"브루트포스 알고리즘","426","59.392%"
"7",10,"브루트포스 알고리즘","426","54.737%"
"8",10,"브루트포스 알고리즘","426","54.931%"
"9",10,"브루트포스 알고리즘","426","49.900%"
"10",10,"브루트포스 알고리즘","426","46.337%"
"11",10,"브루트포스 알고리즘","426","49.042%"
"12",10,"브루트포스 알고리즘","426","34.626%"
"13",10,"브루트포스 알고리즘","426","44.270%"
"14",10,"브루트포스 알고리즘","426","44.237%"
"15",10,"브루트포스 알고리즘","426","34.229%"
"16",10,"브루트포스 알고리즘","426","44.990%"
"17",10,"브루트포스 알고리즘","426","40.916%"
"18",10,"브루트포스 알고리즘","426","25.500%"
"19",10,"브루트포스 알고리즘","426","62.150%"
"20",10,"브루트포스 알고리즘","426","23.744%"
"21",10,"브루트포스 알고리즘","426","22.315%"
"22",10,"브루트포스 알고리즘","426","55.446%"
"23",10,"브루트포스 알고리즘","426","40.829%"
"24",10,"브루트포스 알고리즘","426","72.286%"
"25",10,"브루트포스 알고리즘","426","38.573%"
"26",10,"브루트포스 알고리즘","426","72.222%"
"27",10,"브루트포스 알고리즘","426","20.513%"
"28",10,"브루트포스 알고리즘","426","59.243%"
"29",10,"브루트포스 알고리즘","426","49.872%"
"30",10,"브루트포스 알고리즘","426","25.216%"
"31",10,"브루트포스 알고리즘","426","31.180%"
"32",10,"브루트포스 알고리즘","426","45.120%"
"33",10,"브루트포스 알고리즘","426","70.634%"
"34",10,"브루트포스 알고리즘","426","29.884%"
"35",10,"브루트포스 알고리즘","426","37.266%"
"36",10,"브루트포스 알고리즘","426","30.239%"
"37",10,"브루트포스 알고리즘","426","24.272%"
"38",10,"브루트포스 알고리즘","426","32.012%"
"39",10,"브루트포스 알고리즘","426","44.435%"
"40",10,"브루트포스 알고리즘","426","34.796%"
"41",10,"브루트포스 알고리즘","426","10.793%"
"42",10,"브루트포스 알고리즘","426","34.299%"
"43",10,"브루트포스 알고리즘","426","35.658%"
"44",10,"브루트포스 알고리즘","426","39.236%"
"45",10,"브루트포스 알고리즘","426","53.242%"
"46",10,"브루트포스 알고리즘","426","57.363%"
"47",10,"브루트포스 알고리즘","426","50.376%"
"48",10,"브루트포스 알고리즘","426","27.899%"
"49",10,"브루트포스 알고리즘","426","56.389%"
"50",10,"브루트포스 알고리즘","426","32.734%"
"51",10,"브루트포스 알고리즘","426","26.353%"
"52",10,"브루트포스 알고리즘","426","41.194%"
"53",10,"브루트포스 알고리즘","426","68.137%"
"54",10,"브루트포스 알고리즘","426","33.163%"
"55",10,"브루트포스 알고리즘","426","55.301%"
"56",10,"브루트포스 알고리즘","426","18.723%"
"57",10,"브루트포스 알고리즘","426","27.396%"
"58",10,"브루트포스 알고리즘","426","60.418%"
"59",10,"브루트포스 알고리즘","426","22.090%"
"60",10,"브루트포스 알고리즘","426","42.262%"
"61",10,"브루트포스 알고리즘","426","48.883%"
