"","n","algo_title","problem_num","answer_percent"
"1",15,"정수론","341","48.418%"
"2",15,"정수론","341","27.483%"
"3",15,"정수론","341","63.644%"
"4",15,"정수론","341","39.225%"
"5",15,"정수론","341","59.601%"
"6",15,"정수론","341","45.277%"
"7",15,"정수론","341","67.166%"
"8",15,"정수론","341","49.309%"
"9",15,"정수론","341","44.375%"
"10",15,"정수론","341","40.504%"
"11",15,"정수론","341","53.394%"
"12",15,"정수론","341","23.478%"
"13",15,"정수론","341","25.918%"
"14",15,"정수론","341","35.598%"
"15",15,"정수론","341","51.553%"
"16",15,"정수론","341","36.687%"
"17",15,"정수론","341","46.122%"
"18",15,"정수론","341","70.444%"
"19",15,"정수론","341","29.026%"
"20",15,"정수론","341","80.472%"
"21",15,"정수론","341","42.209%"
"22",15,"정수론","341","54.583%"
"23",15,"정수론","341","19.405%"
"24",15,"정수론","341","63.527%"
"25",15,"정수론","341","45.843%"
"26",15,"정수론","341","20.861%"
"27",15,"정수론","341","46.143%"
"28",15,"정수론","341","56.162%"
"29",15,"정수론","341","50.316%"
"30",15,"정수론","341","26.353%"
"31",15,"정수론","341","22.050%"
"32",15,"정수론","341","52.167%"
"33",15,"정수론","341","74.799%"
"34",15,"정수론","341","26.941%"
"35",15,"정수론","341","44.481%"
"36",15,"정수론","341","41.537%"
"37",15,"정수론","341","41.941%"
"38",15,"정수론","341","58.812%"
"39",15,"정수론","341","19.863%"
"40",15,"정수론","341","50.831%"
"41",15,"정수론","341","22.102%"
"42",15,"정수론","341","27.342%"
"43",15,"정수론","341","40.524%"
"44",15,"정수론","341","38.429%"
"45",15,"정수론","341","35.080%"
"46",15,"정수론","341","54.000%"
"47",15,"정수론","341","68.643%"
"48",15,"정수론","341","43.444%"
"49",15,"정수론","341","53.139%"
"50",15,"정수론","341","73.259%"
"51",15,"정수론","341","41.584%"
"52",15,"정수론","341","39.461%"
"53",15,"정수론","341","19.765%"
"54",15,"정수론","341","22.032%"
"55",15,"정수론","341","33.012%"
"56",15,"정수론","341","78.662%"
"57",15,"정수론","341","29.818%"
"58",15,"정수론","341","53.107%"
"59",15,"정수론","341","70.169%"
"60",15,"정수론","341","43.333%"
"61",15,"정수론","341","39.070%"
"62",15,"정수론","341","37.403%"
"63",15,"정수론","341","47.348%"
"64",15,"정수론","341","45.353%"
"65",15,"정수론","341","38.151%"
"66",15,"정수론","341","52.485%"
"67",15,"정수론","341","35.798%"
"68",15,"정수론","341","49.247%"
"69",15,"정수론","341","55.950%"
"70",15,"정수론","341","39.421%"
"71",15,"정수론","341","50.903%"
"72",15,"정수론","341","28.571%"
"73",15,"정수론","341","18.025%"
"74",15,"정수론","341","28.314%"
"75",15,"정수론","341","28.017%"
"76",15,"정수론","341","68.700%"
"77",15,"정수론","341","43.049%"
"78",15,"정수론","341","60.244%"
"79",15,"정수론","341","45.120%"
"80",15,"정수론","341","57.346%"
"81",15,"정수론","341","19.048%"
"82",15,"정수론","341","72.561%"
"83",15,"정수론","341","13.866%"
"84",15,"정수론","341","76.080%"
"85",15,"정수론","341","25.422%"
"86",15,"정수론","341","50.351%"
"87",15,"정수론","341","44.079%"
"88",15,"정수론","341","24.447%"
"89",15,"정수론","341","18.182%"
