"","n","algo_title","problem_num","answer_percent"
"1",16,"너비 우선 탐색","296","32.578%"
"2",16,"너비 우선 탐색","296","36.737%"
"3",16,"너비 우선 탐색","296","38.529%"
"4",16,"너비 우선 탐색","296","32.421%"
"5",16,"너비 우선 탐색","296","24.808%"
"6",16,"너비 우선 탐색","296","43.739%"
"7",16,"너비 우선 탐색","296","35.131%"
"8",16,"너비 우선 탐색","296","46.092%"
"9",16,"너비 우선 탐색","296","54.737%"
"10",16,"너비 우선 탐색","296","49.911%"
"11",16,"너비 우선 탐색","296","39.634%"
"12",16,"너비 우선 탐색","296","58.187%"
"13",16,"너비 우선 탐색","296","45.849%"
"14",16,"너비 우선 탐색","296","22.882%"
"15",16,"너비 우선 탐색","296","25.500%"
"16",16,"너비 우선 탐색","296","45.545%"
"17",16,"너비 우선 탐색","296","30.885%"
"18",16,"너비 우선 탐색","296","23.031%"
"19",16,"너비 우선 탐색","296","53.803%"
"20",16,"너비 우선 탐색","296","38.692%"
"21",16,"너비 우선 탐색","296","26.514%"
"22",16,"너비 우선 탐색","296","36.077%"
"23",16,"너비 우선 탐색","296","38.573%"
"24",16,"너비 우선 탐색","296","44.062%"
"25",16,"너비 우선 탐색","296","34.467%"
"26",16,"너비 우선 탐색","296","32.793%"
"27",16,"너비 우선 탐색","296","22.459%"
"28",16,"너비 우선 탐색","296","54.583%"
"29",16,"너비 우선 탐색","296","50.114%"
"30",16,"너비 우선 탐색","296","35.184%"
"31",16,"너비 우선 탐색","296","25.216%"
"32",16,"너비 우선 탐색","296","27.292%"
"33",16,"너비 우선 탐색","296","21.938%"
"34",16,"너비 우선 탐색","296","17.604%"
"35",16,"너비 우선 탐색","296","41.870%"
"36",16,"너비 우선 탐색","296","33.641%"
"37",16,"너비 우선 탐색","296","48.303%"
"38",16,"너비 우선 탐색","296","39.688%"
"39",16,"너비 우선 탐색","296","45.654%"
"40",16,"너비 우선 탐색","296","34.702%"
"41",16,"너비 우선 탐색","296","25.455%"
"42",16,"너비 우선 탐색","296","34.166%"
"43",16,"너비 우선 탐색","296","24.659%"
"44",16,"너비 우선 탐색","296","58.517%"
"45",16,"너비 우선 탐색","296","47.903%"
"46",16,"너비 우선 탐색","296","30.618%"
"47",16,"너비 우선 탐색","296","22.166%"
"48",16,"너비 우선 탐색","296","55.270%"
"49",16,"너비 우선 탐색","296","42.016%"
"50",16,"너비 우선 탐색","296","27.899%"
"51",16,"너비 우선 탐색","296","46.689%"
"52",16,"너비 우선 탐색","296","44.171%"
"53",16,"너비 우선 탐색","296","34.252%"
"54",16,"너비 우선 탐색","296","24.058%"
"55",16,"너비 우선 탐색","296","28.596%"
"56",16,"너비 우선 탐색","296","48.783%"
"57",16,"너비 우선 탐색","296","55.571%"
"58",16,"너비 우선 탐색","296","19.019%"
"59",16,"너비 우선 탐색","296","31.046%"
"60",16,"너비 우선 탐색","296","32.191%"
"61",16,"너비 우선 탐색","296","31.106%"
"62",16,"너비 우선 탐색","296","43.596%"
"63",16,"너비 우선 탐색","296","42.293%"
"64",16,"너비 우선 탐색","296","45.772%"
"65",16,"너비 우선 탐색","296","24.563%"
"66",16,"너비 우선 탐색","296","29.003%"
"67",16,"너비 우선 탐색","296","55.205%"
"68",16,"너비 우선 탐색","296","41.106%"
"69",16,"너비 우선 탐색","296","51.003%"
"70",16,"너비 우선 탐색","296","20.467%"
"71",16,"너비 우선 탐색","296","70.725%"
"72",16,"너비 우선 탐색","296","21.667%"
"73",16,"너비 우선 탐색","296","43.599%"
"74",16,"너비 우선 탐색","296","26.431%"
"75",16,"너비 우선 탐색","296","34.112%"
"76",16,"너비 우선 탐색","296","37.433%"
"77",16,"너비 우선 탐색","296","43.600%"
"78",16,"너비 우선 탐색","296","22.930%"
"79",16,"너비 우선 탐색","296","26.965%"
"80",16,"너비 우선 탐색","296","49.226%"
"81",16,"너비 우선 탐색","296","22.941%"
"82",16,"너비 우선 탐색","296","23.636%"
"83",16,"너비 우선 탐색","296","22.410%"
"84",16,"너비 우선 탐색","296","62.016%"
"85",16,"너비 우선 탐색","296","20.380%"
"86",16,"너비 우선 탐색","296","32.177%"
"87",16,"너비 우선 탐색","296","18.936%"
"88",16,"너비 우선 탐색","296","21.007%"
"89",16,"너비 우선 탐색","296","41.195%"
"90",16,"너비 우선 탐색","296","28.509%"
"91",16,"너비 우선 탐색","296","33.119%"
"92",16,"너비 우선 탐색","296","38.864%"
"93",16,"너비 우선 탐색","296","49.642%"
"94",16,"너비 우선 탐색","296","27.685%"
"95",16,"너비 우선 탐색","296","27.730%"
"96",16,"너비 우선 탐색","296","38.782%"
"97",16,"너비 우선 탐색","296","35.698%"
"98",16,"너비 우선 탐색","296","26.791%"
"99",16,"너비 우선 탐색","296","34.984%"
"100",16,"너비 우선 탐색","296","26.242%"
"101",16,"너비 우선 탐색","296","55.995%"
"102",16,"너비 우선 탐색","296","25.799%"
"103",16,"너비 우선 탐색","296","30.964%"
"104",16,"너비 우선 탐색","296","20.955%"
"105",16,"너비 우선 탐색","296","31.297%"
"106",16,"너비 우선 탐색","296","37.449%"
"107",16,"너비 우선 탐색","296","28.346%"
"108",16,"너비 우선 탐색","296","27.782%"
"109",16,"너비 우선 탐색","296","56.672%"
"110",16,"너비 우선 탐색","296","34.232%"
"111",16,"너비 우선 탐색","296","55.092%"
"112",16,"너비 우선 탐색","296","18.811%"
"113",16,"너비 우선 탐색","296","26.962%"
"114",16,"너비 우선 탐색","296","22.843%"
"115",16,"너비 우선 탐색","296","42.524%"
"116",16,"너비 우선 탐색","296","31.224%"
"117",16,"너비 우선 탐색","296","28.152%"
"118",16,"너비 우선 탐색","296","45.110%"
"119",16,"너비 우선 탐색","296","25.786%"
"120",16,"너비 우선 탐색","296","22.645%"
"121",16,"너비 우선 탐색","296","19.971%"
"122",16,"너비 우선 탐색","296","47.396%"
"123",16,"너비 우선 탐색","296","39.219%"
"124",16,"너비 우선 탐색","296","53.144%"
"125",16,"너비 우선 탐색","296","45.470%"
"126",16,"너비 우선 탐색","296","69.022%"
"127",16,"너비 우선 탐색","296","27.232%"
"128",16,"너비 우선 탐색","296","26.063%"
"129",16,"너비 우선 탐색","296","42.599%"
"130",16,"너비 우선 탐색","296","52.294%"
"131",16,"너비 우선 탐색","296","52.214%"
"132",16,"너비 우선 탐색","296","57.254%"
"133",16,"너비 우선 탐색","296","48.869%"
"134",16,"너비 우선 탐색","296","31.381%"
"135",16,"너비 우선 탐색","296","57.345%"
"136",16,"너비 우선 탐색","296","28.011%"
"137",16,"너비 우선 탐색","296","26.991%"
"138",16,"너비 우선 탐색","296","24.113%"
"139",16,"너비 우선 탐색","296","57.958%"
"140",16,"너비 우선 탐색","296","17.475%"
"141",16,"너비 우선 탐색","296","62.925%"
"142",16,"너비 우선 탐색","296","40.465%"
"143",16,"너비 우선 탐색","296","70.711%"
"144",16,"너비 우선 탐색","296","31.054%"
"145",16,"너비 우선 탐색","296","21.132%"
"146",16,"너비 우선 탐색","296","30.975%"
"147",16,"너비 우선 탐색","296","42.298%"
"148",16,"너비 우선 탐색","296","49.679%"
"149",16,"너비 우선 탐색","296","31.303%"
"150",16,"너비 우선 탐색","296","23.002%"
"151",16,"너비 우선 탐색","296","26.886%"
"152",16,"너비 우선 탐색","296","22.405%"
"153",16,"너비 우선 탐색","296","74.444%"
"154",16,"너비 우선 탐색","296","50.593%"
"155",16,"너비 우선 탐색","296","48.846%"
"156",16,"너비 우선 탐색","296","21.026%"
"157",16,"너비 우선 탐색","296","34.770%"
"158",16,"너비 우선 탐색","296","36.556%"
"159",16,"너비 우선 탐색","296","30.303%"
"160",16,"너비 우선 탐색","296","36.061%"
"161",16,"너비 우선 탐색","296","47.984%"
"162",16,"너비 우선 탐색","296","30.303%"
"163",16,"너비 우선 탐색","296","19.273%"
"164",16,"너비 우선 탐색","296","16.104%"
"165",16,"너비 우선 탐색","296","14.116%"
"166",16,"너비 우선 탐색","296","48.223%"
"167",16,"너비 우선 탐색","296","19.502%"
"168",16,"너비 우선 탐색","296","26.062%"
"169",16,"너비 우선 탐색","296","19.869%"
"170",16,"너비 우선 탐색","296","32.246%"
"171",16,"너비 우선 탐색","296","18.432%"
"172",16,"너비 우선 탐색","296","26.708%"
"173",16,"너비 우선 탐색","296","47.486%"
"174",16,"너비 우선 탐색","296","59.574%"
"175",16,"너비 우선 탐색","296","13.257%"
"176",16,"너비 우선 탐색","296","64.103%"
"177",16,"너비 우선 탐색","296","85.882%"
"178",16,"너비 우선 탐색","296","64.035%"
"179",16,"너비 우선 탐색","296","45.283%"
"180",16,"너비 우선 탐색","296","39.560%"
"181",16,"너비 우선 탐색","296","28.862%"
"182",16,"너비 우선 탐색","296","72.449%"
"183",16,"너비 우선 탐색","296","73.404%"
"184",16,"너비 우선 탐색","296","29.437%"
"185",16,"너비 우선 탐색","296","69.474%"
"186",16,"너비 우선 탐색","296","38.690%"
"187",16,"너비 우선 탐색","296","20.761%"
"188",16,"너비 우선 탐색","296","77.922%"
"189",16,"너비 우선 탐색","296","44.697%"
"190",16,"너비 우선 탐색","296","35.366%"
"191",16,"너비 우선 탐색","296","31.285%"
"192",16,"너비 우선 탐색","296","47.059%"
"193",16,"너비 우선 탐색","296","23.318%"
"194",16,"너비 우선 탐색","296","55.914%"
"195",16,"너비 우선 탐색","296","52.525%"
"196",16,"너비 우선 탐색","296","37.008%"
"197",16,"너비 우선 탐색","296","35.938%"
"198",16,"너비 우선 탐색","296","83.019%"
"199",16,"너비 우선 탐색","296","70.968%"
"200",16,"너비 우선 탐색","296","36.667%"
"201",16,"너비 우선 탐색","296","23.118%"
"202",16,"너비 우선 탐색","296","42.574%"
"203",16,"너비 우선 탐색","296","31.818%"
"204",16,"너비 우선 탐색","296","76.364%"
"205",16,"너비 우선 탐색","296","83.673%"
"206",16,"너비 우선 탐색","296","74.074%"
"207",16,"너비 우선 탐색","296","65.574%"
"208",16,"너비 우선 탐색","296","58.209%"
"209",16,"너비 우선 탐색","296","33.929%"
"210",16,"너비 우선 탐색","296","71.698%"
"211",16,"너비 우선 탐색","296","48.684%"
