"","n","algo_title","problem_num","answer_percent"
"1",26,"백트래킹","138","54.931%"
"2",26,"백트래킹","138","53.765%"
"3",26,"백트래킹","138","49.900%"
"4",26,"백트래킹","138","60.367%"
"5",26,"백트래킹","138","49.042%"
"6",26,"백트래킹","138","44.270%"
"7",26,"백트래킹","138","76.049%"
"8",26,"백트래킹","138","30.441%"
"9",26,"백트래킹","138","65.468%"
"10",26,"백트래킹","138","81.618%"
"11",26,"백트래킹","138","62.150%"
"12",26,"백트래킹","138","29.451%"
"13",26,"백트래킹","138","35.113%"
"14",26,"백트래킹","138","74.444%"
"15",26,"백트래킹","138","86.190%"
"16",26,"백트래킹","138","20.513%"
"17",26,"백트래킹","138","86.541%"
"18",26,"백트래킹","138","78.642%"
"19",26,"백트래킹","138","49.872%"
"20",26,"백트래킹","138","49.107%"
"21",26,"백트래킹","138","80.683%"
"22",26,"백트래킹","138","42.410%"
"23",26,"백트래킹","138","81.260%"
"24",26,"백트래킹","138","76.692%"
"25",26,"백트래킹","138","53.188%"
"26",26,"백트래킹","138","30.239%"
"27",26,"백트래킹","138","24.272%"
"28",26,"백트래킹","138","32.012%"
"29",26,"백트래킹","138","23.897%"
"30",26,"백트래킹","138","29.082%"
"31",26,"백트래킹","138","46.197%"
"32",26,"백트래킹","138","32.734%"
"33",26,"백트래킹","138","33.163%"
"34",26,"백트래킹","138","45.481%"
"35",26,"백트래킹","138","48.422%"
"36",26,"백트래킹","138","31.327%"
"37",26,"백트래킹","138","42.293%"
"38",26,"백트래킹","138","34.165%"
"39",26,"백트래킹","138","52.802%"
"40",26,"백트래킹","138","78.395%"
"41",26,"백트래킹","138","38.630%"
"42",26,"백트래킹","138","66.021%"
"43",26,"백트래킹","138","65.186%"
"44",26,"백트래킹","138","31.704%"
"45",26,"백트래킹","138","24.206%"
"46",26,"백트래킹","138","61.994%"
"47",26,"백트래킹","138","44.079%"
"48",26,"백트래킹","138","61.364%"
"49",26,"백트래킹","138","48.465%"
"50",26,"백트래킹","138","30.654%"
"51",26,"백트래킹","138","66.125%"
"52",26,"백트래킹","138","31.432%"
"53",26,"백트래킹","138","22.455%"
"54",26,"백트래킹","138","46.347%"
"55",26,"백트래킹","138","57.958%"
"56",26,"백트래킹","138","54.085%"
"57",26,"백트래킹","138","13.191%"
"58",26,"백트래킹","138","48.953%"
"59",26,"백트래킹","138","30.602%"
"60",26,"백트래킹","138","51.807%"
"61",26,"백트래킹","138","23.364%"
"62",26,"백트래킹","138","34.529%"
"63",26,"백트래킹","138","79.167%"
"64",26,"백트래킹","138","22.659%"
"65",26,"백트래킹","138","38.889%"
"66",26,"백트래킹","138","68.367%"
"67",26,"백트래킹","138","29.778%"
"68",26,"백트래킹","138","17.112%"
"69",26,"백트래킹","138","45.217%"
"70",26,"백트래킹","138","52.525%"
"71",26,"백트래킹","138","61.250%"
"72",26,"백트래킹","138","26.667%"
"73",26,"백트래킹","138","33.846%"
"74",26,"백트래킹","138","42.308%"
"75",26,"백트래킹","138","79.630%"
"76",26,"백트래킹","138","22.222%"
"77",26,"백트래킹","138","75.000%"
"78",26,"백트래킹","138","46.053%"
"79",26,"백트래킹","138","45.946%"
"80",26,"백트래킹","138","25.185%"
"81",26,"백트래킹","138","19.075%"
"82",26,"백트래킹","138","21.831%"
"83",26,"백트래킹","138","25.253%"
"84",26,"백트래킹","138","9.434%"
"85",26,"백트래킹","138","31.169%"
"86",26,"백트래킹","138","45.098%"
"87",26,"백트래킹","138","39.655%"
"88",26,"백트래킹","138","68.750%"
"89",26,"백트래킹","138","73.333%"
"90",26,"백트래킹","138","52.500%"
"91",26,"백트래킹","138","35.088%"
"92",26,"백트래킹","138","33.898%"
"93",26,"백트래킹","138","59.375%"
"94",26,"백트래킹","138","35.185%"
"95",26,"백트래킹","138","31.667%"
"96",26,"백트래킹","138","26.027%"
"97",26,"백트래킹","138","16.981%"
"98",26,"백트래킹","138","33.333%"
"99",26,"백트래킹","138","42.500%"
"100",26,"백트래킹","138","18.280%"
"101",26,"백트래킹","138","41.026%"
"102",26,"백트래킹","138","39.024%"
"103",26,"백트래킹","138","27.778%"
"104",26,"백트래킹","138","28.571%"
"105",26,"백트래킹","138","65.000%"
"106",26,"백트래킹","138","40.625%"
"107",26,"백트래킹","138","52.174%"
"108",26,"백트래킹","138","32.432%"
"109",26,"백트래킹","138","64.706%"
"110",26,"백트래킹","138","68.750%"
"111",26,"백트래킹","138","38.462%"
"112",26,"백트래킹","138","55.556%"
"113",26,"백트래킹","138","76.923%"
"114",26,"백트래킹","138","90.000%"
"115",26,"백트래킹","138","69.231%"
"116",26,"백트래킹","138","56.250%"
"117",26,"백트래킹","138","33.333%"
"118",26,"백트래킹","138","81.818%"
"119",26,"백트래킹","138","60.000%"
"120",26,"백트래킹","138","100.000%"
"121",26,"백트래킹","138","43.750%"
"122",26,"백트래킹","138","60.000%"
"123",26,"백트래킹","138","35.294%"
"124",26,"백트래킹","138","46.154%"
"125",26,"백트래킹","138","46.154%"
"126",26,"백트래킹","138","19.355%"
"127",26,"백트래킹","138","33.333%"
"128",26,"백트래킹","138","13.333%"
"129",26,"백트래킹","138","2.454%"
"130",26,"백트래킹","138","66.667%"
"131",26,"백트래킹","138","60.000%"
"132",26,"백트래킹","138","100.000%"
"133",26,"백트래킹","138","25.000%"
"134",26,"백트래킹","138","33.333%"
"135",26,"백트래킹","138","37.500%"
"136",26,"백트래킹","138","66.667%"
"137",26,"백트래킹","138","66.667%"
"138",26,"백트래킹","138","100.000%"
