"","n","algo_title","problem_num","answer_percent"
"1",27,"최대 유량","131","46.880%"
"2",27,"최대 유량","131","48.132%"
"3",27,"최대 유량","131","24.542%"
"4",27,"최대 유량","131","39.802%"
"5",27,"최대 유량","131","44.403%"
"6",27,"최대 유량","131","39.440%"
"7",27,"최대 유량","131","48.306%"
"8",27,"최대 유량","131","25.310%"
"9",27,"최대 유량","131","58.364%"
"10",27,"최대 유량","131","60.954%"
"11",27,"최대 유량","131","51.724%"
"12",27,"최대 유량","131","24.679%"
"13",27,"최대 유량","131","22.664%"
"14",27,"최대 유량","131","42.280%"
"15",27,"최대 유량","131","28.075%"
"16",27,"최대 유량","131","35.874%"
"17",27,"최대 유량","131","78.049%"
"18",27,"최대 유량","131","41.299%"
"19",27,"최대 유량","131","30.549%"
"20",27,"최대 유량","131","29.916%"
"21",27,"최대 유량","131","58.454%"
"22",27,"최대 유량","131","26.947%"
"23",27,"최대 유량","131","64.907%"
"24",27,"최대 유량","131","32.325%"
"25",27,"최대 유량","131","18.216%"
"26",27,"최대 유량","131","36.620%"
"27",27,"최대 유량","131","44.335%"
"28",27,"최대 유량","131","42.786%"
"29",27,"최대 유량","131","27.273%"
"30",27,"최대 유량","131","45.367%"
"31",27,"최대 유량","131","37.604%"
"32",27,"최대 유량","131","21.086%"
"33",27,"최대 유량","131","16.531%"
"34",27,"최대 유량","131","25.486%"
"35",27,"최대 유량","131","31.099%"
"36",27,"최대 유량","131","43.426%"
"37",27,"최대 유량","131","40.377%"
"38",27,"최대 유량","131","15.512%"
"39",27,"최대 유량","131","42.149%"
"40",27,"최대 유량","131","57.237%"
"41",27,"최대 유량","131","50.641%"
"42",27,"최대 유량","131","39.378%"
"43",27,"최대 유량","131","33.628%"
"44",27,"최대 유량","131","52.941%"
"45",27,"최대 유량","131","60.360%"
"46",27,"최대 유량","131","72.414%"
"47",27,"최대 유량","131","39.490%"
"48",27,"최대 유량","131","33.133%"
"49",27,"최대 유량","131","45.378%"
"50",27,"최대 유량","131","55.319%"
"51",27,"최대 유량","131","63.514%"
"52",27,"최대 유량","131","42.593%"
"53",27,"최대 유량","131","27.950%"
"54",27,"최대 유량","131","17.671%"
"55",27,"최대 유량","131","32.331%"
"56",27,"최대 유량","131","48.276%"
"57",27,"최대 유량","131","57.746%"
"58",27,"최대 유량","131","29.457%"
"59",27,"최대 유량","131","22.156%"
"60",27,"최대 유량","131","30.769%"
"61",27,"최대 유량","131","58.333%"
"62",27,"최대 유량","131","36.458%"
"63",27,"최대 유량","131","45.714%"
"64",27,"최대 유량","131","35.165%"
"65",27,"최대 유량","131","24.409%"
"66",27,"최대 유량","131","41.667%"
"67",27,"최대 유량","131","38.889%"
"68",27,"최대 유량","131","56.250%"
"69",27,"최대 유량","131","33.750%"
"70",27,"최대 유량","131","33.333%"
"71",27,"최대 유량","131","47.826%"
"72",27,"최대 유량","131","31.429%"
"73",27,"최대 유량","131","54.054%"
"74",27,"최대 유량","131","18.182%"
"75",27,"최대 유량","131","33.333%"
"76",27,"최대 유량","131","21.348%"
"77",27,"최대 유량","131","34.545%"
"78",27,"최대 유량","131","47.368%"
"79",27,"최대 유량","131","56.250%"
"80",27,"최대 유량","131","40.909%"
"81",27,"최대 유량","131","39.535%"
"82",27,"최대 유량","131","41.463%"
"83",27,"최대 유량","131","70.833%"
"84",27,"최대 유량","131","37.778%"
"85",27,"최대 유량","131","58.621%"
"86",27,"최대 유량","131","43.243%"
"87",27,"최대 유량","131","51.613%"
"88",27,"최대 유량","131","40.000%"
"89",27,"최대 유량","131","93.750%"
"90",27,"최대 유량","131","44.118%"
"91",27,"최대 유량","131","16.867%"
"92",27,"최대 유량","131","30.233%"
"93",27,"최대 유량","131","32.500%"
"94",27,"최대 유량","131","65.000%"
"95",27,"최대 유량","131","59.091%"
"96",27,"최대 유량","131","46.429%"
"97",27,"최대 유량","131","60.000%"
"98",27,"최대 유량","131","54.545%"
"99",27,"최대 유량","131","40.000%"
"100",27,"최대 유량","131","91.667%"
"101",27,"최대 유량","131","55.000%"
"102",27,"최대 유량","131","50.000%"
"103",27,"최대 유량","131","32.353%"
"104",27,"최대 유량","131","39.286%"
"105",27,"최대 유량","131","40.000%"
"106",27,"최대 유량","131","52.632%"
"107",27,"최대 유량","131","45.455%"
"108",27,"최대 유량","131","60.000%"
"109",27,"최대 유량","131","27.586%"
"110",27,"최대 유량","131","66.667%"
"111",27,"최대 유량","131","80.000%"
"112",27,"최대 유량","131","87.500%"
"113",27,"최대 유량","131","87.500%"
"114",27,"최대 유량","131","11.321%"
"115",27,"최대 유량","131","45.455%"
"116",27,"최대 유량","131","71.429%"
"117",27,"최대 유량","131","38.462%"
"118",27,"최대 유량","131","35.714%"
"119",27,"최대 유량","131","83.333%"
"120",27,"최대 유량","131","57.143%"
"121",27,"최대 유량","131","25.000%"
"122",27,"최대 유량","131","57.143%"
"123",27,"최대 유량","131","80.000%"
"124",27,"최대 유량","131","13.793%"
"125",27,"최대 유량","131","100.000%"
"126",27,"최대 유량","131","100.000%"
"127",27,"최대 유량","131","42.857%"
"128",27,"최대 유량","131","50.000%"
"129",27,"최대 유량","131","100.000%"
"130",27,"최대 유량","131","100.000%"
"131",27,"최대 유량","131","100.000%"
