"","n","algo_title","problem_num","answer_percent"
"1",30,"备己利","107","56.155%"
"2",30,"备己利","107","30.158%"
"3",30,"备己利","107","28.824%"
"4",30,"备己利","107","39.013%"
"5",30,"备己利","107","73.125%"
"6",30,"备己利","107","36.264%"
"7",30,"备己利","107","52.381%"
"8",30,"备己利","107","46.392%"
"9",30,"备己利","107","44.068%"
"10",30,"备己利","107","28.755%"
"11",30,"备己利","107","55.357%"
"12",30,"备己利","107","44.361%"
"13",30,"备己利","107","33.133%"
"14",30,"备己利","107","49.541%"
"15",30,"备己利","107","78.788%"
"16",30,"备己利","107","32.298%"
"17",30,"备己利","107","47.619%"
"18",30,"备己利","107","38.136%"
"19",30,"备己利","107","33.835%"
"20",30,"备己利","107","32.576%"
"21",30,"备己利","107","43.617%"
"22",30,"备己利","107","57.353%"
"23",30,"备己利","107","50.000%"
"24",30,"备己利","107","34.286%"
"25",30,"备己利","107","25.185%"
"26",30,"备己利","107","43.038%"
"27",30,"备己利","107","57.143%"
"28",30,"备己利","107","72.093%"
"29",30,"备己利","107","22.143%"
"30",30,"备己利","107","35.294%"
"31",30,"备己利","107","76.316%"
"32",30,"备己利","107","40.000%"
"33",30,"备己利","107","28.866%"
"34",30,"备己利","107","33.735%"
"35",30,"备己利","107","67.500%"
"36",30,"备己利","107","21.774%"
"37",30,"备己利","107","29.762%"
"38",30,"备己利","107","34.247%"
"39",30,"备己利","107","18.797%"
"40",30,"备己利","107","62.500%"
"41",30,"备己利","107","55.814%"
"42",30,"备己利","107","31.579%"
"43",30,"备己利","107","42.593%"
"44",30,"备己利","107","66.667%"
"45",30,"备己利","107","32.353%"
"46",30,"备己利","107","37.931%"
"47",30,"备己利","107","57.895%"
"48",30,"备己利","107","100.000%"
"49",30,"备己利","107","52.500%"
"50",30,"备己利","107","52.632%"
"51",30,"备己利","107","47.619%"
"52",30,"备己利","107","47.619%"
"53",30,"备己利","107","66.667%"
"54",30,"备己利","107","67.857%"
"55",30,"备己利","107","54.545%"
"56",30,"备己利","107","69.231%"
"57",30,"备己利","107","52.941%"
"58",30,"备己利","107","90.000%"
"59",30,"备己利","107","65.385%"
"60",30,"备己利","107","55.172%"
"61",30,"备己利","107","78.947%"
"62",30,"备己利","107","65.217%"
"63",30,"备己利","107","42.857%"
"64",30,"备己利","107","66.667%"
"65",30,"备己利","107","77.778%"
"66",30,"备己利","107","41.176%"
"67",30,"备己利","107","56.522%"
"68",30,"备己利","107","31.579%"
"69",30,"备己利","107","48.000%"
"70",30,"备己利","107","70.588%"
"71",30,"备己利","107","34.286%"
"72",30,"备己利","107","55.000%"
"73",30,"备己利","107","68.750%"
"74",30,"备己利","107","76.923%"
"75",30,"备己利","107","62.500%"
"76",30,"备己利","107","58.824%"
"77",30,"备己利","107","37.037%"
"78",30,"备己利","107","47.368%"
"79",30,"备己利","107","69.231%"
"80",30,"备己利","107","100.000%"
"81",30,"备己利","107","66.667%"
"82",30,"备己利","107","34.783%"
"83",30,"备己利","107","4.545%"
"84",30,"备己利","107","38.889%"
"85",30,"备己利","107","87.500%"
"86",30,"备己利","107","38.889%"
"87",30,"备己利","107","46.667%"
"88",30,"备己利","107","100.000%"
"89",30,"备己利","107","54.545%"
"90",30,"备己利","107","85.714%"
"91",30,"备己利","107","83.333%"
"92",30,"备己利","107","83.333%"
"93",30,"备己利","107","83.333%"
"94",30,"备己利","107","80.000%"
"95",30,"备己利","107","57.143%"
"96",30,"备己利","107","66.667%"
"97",30,"备己利","107","5.479%"
"98",30,"备己利","107","25.000%"
"99",30,"备己利","107","50.000%"
"100",30,"备己利","107","60.000%"
"101",30,"备己利","107","100.000%"
"102",30,"备己利","107","100.000%"
"103",30,"备己利","107","100.000%"
"104",30,"备己利","107","50.000%"
"105",30,"备己利","107","60.000%"
"106",30,"备己利","107","100.000%"
"107",30,"备己利","107","100.000%"
