"","bookthumburl","booktitle"
"1","https://bookthumb-phinf.pstatic.net/cover/166/875/16687560.jpg?type=m106&udate=20200921","보건교사 안은영(특별판)(양장본 Har.."
"2","https://bookthumb-phinf.pstatic.net/cover/164/925/16492526.jpg?type=m106&udate=20200921","언니밖에 없네"
"3","https://bookthumb-phinf.pstatic.net/cover/167/104/16710440.jpg?type=m106&udate=20200921","지박소년 하나코 군12"
"4","https://bookthumb-phinf.pstatic.net/cover/166/877/16687793.jpg?type=m106&udate=20200921","연년세세"
"5","https://bookthumb-phinf.pstatic.net/cover/087/365/08736562.jpg?type=m106&udate=20200921","이토록 공부가 재미있어지는 순간"
"6","https://bookthumb-phinf.pstatic.net/cover/165/879/16587911.jpg?type=m106&udate=20200921","심판(양장본 HardCover)"
"7","https://bookthumb-phinf.pstatic.net/cover/166/549/16654970.jpg?type=m106&udate=20200921","상관없는 거 아닌가?(양장본 HardCo.."
"8","https://bookthumb-phinf.pstatic.net/cover/118/022/11802243.jpg?type=m106&udate=20200921","아몬드"
"9","https://bookthumb-phinf.pstatic.net/cover/166/862/16686232.jpg?type=m106&udate=20200921","하이큐!! 43"
"10","https://bookthumb-phinf.pstatic.net/cover/166/287/16628720.jpg?type=m106&udate=20200921","규칙 없음"
