"","title","name","point","review"
"1","주디","lmh","8","르네 젤위거를 정말 오랜만에 보았는데영혼을바쳐 연기한거 같은 ...마음이 좀 아프네요"
"2","주디","꽉이","9","재능은 있었으나 불행한 삶을 산 주디.마지막 무대에서 불렀던 노래가 잊혀지지 않는다."
"3","주디","adler","10","추천합니다"
"4","주디","미소천사","8","연기가  아닌 주디 네요~~"
"5","주디","여니","7","르네의 연기에 존경을.."
"6","주디","영구영구","9","누구나.....진짜 사랑을 원하는 거야."
"7","주디","야옹사마","7","결국 그녀의 노래처럼 무지개 너머로 일찍 떠나버린 주디...슬프네.. ㅠㅠ"
"8","주디","박형","8","이젠 무지개 뒤에서 웃고 있을까? ㅠㅠ"
"9","주디","happydays","4","연기는 잘했으나 감동은 제로보는내내 만원내고 보는 돈이  아깝고갑갑하고 지루해서 이영화보다 내가 병날거같음"
"10","주디","승미","7","주디 갈란드가 향년 47세 라는데 영화에 표현 해논건 60대 넘는거 같네..."
"11","주디","물안개","10","화려함 뒤에 숨어있는 슬픔의 내면을 아주 잘 표현한 것 같습니다"
"12","주디","R32","8","일단 믿고 보는 Renee 지만슬픈 스토리"
"13","주디","이리","8","등뼈까지 연기하는 르네 젤위거"
"14","주디","Mnbv","10",""
"15","주디","petrushka","8","주디 갈랜드에 대해 미리 알고 봤더라면 노랠 들으며 마냥 웃을 수 없었겠지"
"16","주디","『도덕생활경태™』","8","노래 좋다."
"17","주디","Lee_s_H","10","잔인했던 할리우드의 피해자 주디 갈랜드의 처절했지만 사랑스러운 Over the rainbow"
"18","주디","현경","10","주디 갈란트의 인생이 녹아있는 영화!비행기 안에서 눈물 주르르 흘리며 봤네요. 강추!"
"19","주디","메아리","6",""
"20","주디","RICKY","9","어느 한순간도 본인의 의지대로 살지 못했던 주디 갈란드의 삶은 정말 안타까운 마음이 든다. 영화에 등장하는 르네 젤위거를 보면 이 역할을 위해 얼마나 많은 노력을 했는지 알 수 있음. 여우주연상 수상이 너무 당연하다는 생각."
"21","주디","록키","10","만인의 연인은 누구의 연인도 아니다.할말은 많지만, 르네 젤위거의 연기는 소름 돋도록 처절했고 완벽했다."
"22","주디","윤종훈","6",""
"23","주디","민지","9","르네 젤위거 배우의 연기력이 돋보였다. 그리고 영화 속 주인공인 주디의 안타까운 삶에 대해 생각해볼 수 있었다."
"24","주디","이민재","1","솔직히 보지마세요..."
