"","n","algo_title","problem_num","answer_percent"
"1",12,"기하학","369","65.593%"
"2",12,"기하학","369","20.129%"
"3",12,"기하학","369","58.384%"
"4",12,"기하학","369","55.736%"
"5",12,"기하학","369","39.027%"
"6",12,"기하학","369","74.190%"
"7",12,"기하학","369","41.375%"
"8",12,"기하학","369","71.902%"
"9",12,"기하학","369","22.583%"
"10",12,"기하학","369","24.324%"
"11",12,"기하학","369","27.458%"
"12",12,"기하학","369","39.199%"
"13",12,"기하학","369","23.199%"
"14",12,"기하학","369","77.826%"
"15",12,"기하학","369","31.880%"
"16",12,"기하학","369","36.263%"
"17",12,"기하학","369","33.364%"
"18",12,"기하학","369","45.374%"
"19",12,"기하학","369","37.778%"
"20",12,"기하학","369","52.133%"
"21",12,"기하학","369","29.890%"
"22",12,"기하학","369","18.555%"
"23",12,"기하학","369","54.816%"
"24",12,"기하학","369","39.353%"
"25",12,"기하학","369","20.814%"
"26",12,"기하학","369","91.071%"
"27",12,"기하학","369","83.252%"
"28",12,"기하학","369","29.982%"
"29",12,"기하학","369","32.191%"
"30",12,"기하학","369","41.622%"
"31",12,"기하학","369","90.419%"
"32",12,"기하학","369","95.498%"
"33",12,"기하학","369","25.571%"
"34",12,"기하학","369","16.599%"
"35",12,"기하학","369","39.836%"
"36",12,"기하학","369","28.625%"
"37",12,"기하학","369","35.816%"
"38",12,"기하학","369","30.093%"
"39",12,"기하학","369","91.213%"
"40",12,"기하학","369","19.094%"
"41",12,"기하학","369","43.238%"
"42",12,"기하학","369","83.262%"
"43",12,"기하학","369","45.519%"
"44",12,"기하학","369","37.251%"
"45",12,"기하학","369","29.027%"
"46",12,"기하학","369","85.784%"
"47",12,"기하학","369","61.268%"
"48",12,"기하학","369","40.852%"
"49",12,"기하학","369","26.756%"
"50",12,"기하학","369","23.065%"
"51",12,"기하학","369","68.444%"
"52",12,"기하학","369","15.619%"
"53",12,"기하학","369","53.846%"
"54",12,"기하학","369","35.782%"
"55",12,"기하학","369","24.211%"
"56",12,"기하학","369","89.865%"
"57",12,"기하학","369","56.221%"
"58",12,"기하학","369","86.260%"
"59",12,"기하학","369","41.288%"
"60",12,"기하학","369","44.856%"
"61",12,"기하학","369","63.314%"
"62",12,"기하학","369","15.512%"
"63",12,"기하학","369","41.129%"
"64",12,"기하학","369","19.084%"
"65",12,"기하학","369","18.030%"
"66",12,"기하학","369","13.604%"
"67",12,"기하학","369","34.050%"
"68",12,"기하학","369","46.766%"
"69",12,"기하학","369","27.647%"
"70",12,"기하학","369","35.361%"
"71",12,"기하학","369","36.187%"
"72",12,"기하학","369","40.708%"
"73",12,"기하학","369","37.449%"
"74",12,"기하학","369","44.059%"
"75",12,"기하학","369","32.707%"
"76",12,"기하학","369","17.191%"
"77",12,"기하학","369","84.536%"
"78",12,"기하학","369","28.521%"
"79",12,"기하학","369","20.305%"
"80",12,"기하학","369","68.376%"
"81",12,"기하학","369","20.051%"
"82",12,"기하학","369","24.080%"
"83",12,"기하학","369","27.068%"
"84",12,"기하학","369","32.420%"
"85",12,"기하학","369","34.466%"
"86",12,"기하학","369","18.041%"
"87",12,"기하학","369","27.755%"
"88",12,"기하학","369","30.317%"
"89",12,"기하학","369","14.286%"
"90",12,"기하학","369","67.021%"
"91",12,"기하학","369","40.789%"
"92",12,"기하학","369","55.455%"
"93",12,"기하학","369","36.527%"
"94",12,"기하학","369","46.512%"
"95",12,"기하학","369","23.622%"
"96",12,"기하학","369","49.167%"
"97",12,"기하학","369","44.361%"
"98",12,"기하학","369","31.285%"
"99",12,"기하학","369","32.000%"
"100",12,"기하학","369","30.270%"
"101",12,"기하학","369","33.133%"
"102",12,"기하학","369","14.325%"
"103",12,"기하학","369","33.333%"
"104",12,"기하학","369","29.762%"
"105",12,"기하학","369","19.841%"
"106",12,"기하학","369","51.042%"
"107",12,"기하학","369","27.429%"
"108",12,"기하학","369","27.950%"
"109",12,"기하학","369","54.878%"
"110",12,"기하학","369","18.367%"
"111",12,"기하학","369","83.333%"
"112",12,"기하학","369","17.054%"
"113",12,"기하학","369","80.000%"
"114",12,"기하학","369","20.103%"
"115",12,"기하학","369","60.000%"
"116",12,"기하학","369","35.849%"
"117",12,"기하학","369","77.551%"
"118",12,"기하학","369","21.591%"
"119",12,"기하학","369","42.222%"
"120",12,"기하학","369","28.571%"
"121",12,"기하학","369","43.902%"
