"","n","algo_title","problem_num","answer_percent"
"1",13,"飘府","369","63.240%"
"2",13,"飘府","369","44.062%"
"3",13,"飘府","369","25.360%"
"4",13,"飘府","369","48.536%"
"5",13,"飘府","369","37.028%"
"6",13,"飘府","369","29.872%"
"7",13,"飘府","369","61.764%"
"8",13,"飘府","369","33.380%"
"9",13,"飘府","369","40.180%"
"10",13,"飘府","369","47.765%"
"11",13,"飘府","369","37.578%"
"12",13,"飘府","369","27.188%"
"13",13,"飘府","369","35.929%"
"14",13,"飘府","369","38.479%"
"15",13,"飘府","369","38.221%"
"16",13,"飘府","369","55.966%"
"17",13,"飘府","369","49.908%"
"18",13,"飘府","369","52.330%"
"19",13,"飘府","369","68.156%"
"20",13,"飘府","369","46.154%"
"21",13,"飘府","369","37.796%"
"22",13,"飘府","369","28.618%"
"23",13,"飘府","369","49.788%"
"24",13,"飘府","369","25.758%"
"25",13,"飘府","369","23.852%"
"26",13,"飘府","369","26.766%"
"27",13,"飘府","369","54.045%"
"28",13,"飘府","369","59.521%"
"29",13,"飘府","369","32.574%"
"30",13,"飘府","369","36.729%"
"31",13,"飘府","369","24.206%"
"32",13,"飘府","369","32.986%"
"33",13,"飘府","369","39.407%"
"34",13,"飘府","369","34.011%"
"35",13,"飘府","369","33.094%"
"36",13,"飘府","369","72.912%"
"37",13,"飘府","369","29.602%"
"38",13,"飘府","369","43.953%"
"39",13,"飘府","369","58.416%"
"40",13,"飘府","369","11.770%"
"41",13,"飘府","369","20.626%"
"42",13,"飘府","369","34.232%"
"43",13,"飘府","369","51.521%"
"44",13,"飘府","369","45.098%"
"45",13,"飘府","369","48.263%"
"46",13,"飘府","369","44.624%"
"47",13,"飘府","369","19.297%"
"48",13,"飘府","369","30.063%"
"49",13,"飘府","369","30.919%"
"50",13,"飘府","369","54.155%"
"51",13,"飘府","369","54.908%"
"52",13,"飘府","369","33.078%"
"53",13,"飘府","369","19.000%"
"54",13,"飘府","369","57.877%"
"55",13,"飘府","369","35.440%"
"56",13,"飘府","369","25.327%"
"57",13,"飘府","369","31.753%"
"58",13,"飘府","369","18.681%"
"59",13,"飘府","369","37.688%"
"60",13,"飘府","369","33.634%"
"61",13,"飘府","369","25.376%"
"62",13,"飘府","369","34.232%"
"63",13,"飘府","369","52.083%"
"64",13,"飘府","369","59.391%"
"65",13,"飘府","369","44.177%"
"66",13,"飘府","369","41.985%"
"67",13,"飘府","369","23.656%"
"68",13,"飘府","369","52.427%"
"69",13,"飘府","369","50.233%"
"70",13,"飘府","369","49.083%"
"71",13,"飘府","369","15.036%"
"72",13,"飘府","369","43.348%"
"73",13,"飘府","369","40.400%"
"74",13,"飘府","369","30.240%"
"75",13,"飘府","369","26.234%"
"76",13,"飘府","369","29.641%"
"77",13,"飘府","369","48.529%"
"78",13,"飘府","369","17.786%"
"79",13,"飘府","369","57.143%"
"80",13,"飘府","369","32.509%"
"81",13,"飘府","369","27.832%"
"82",13,"飘府","369","20.885%"
"83",13,"飘府","369","44.681%"
"84",13,"飘府","369","56.000%"
"85",13,"飘府","369","25.545%"
"86",13,"飘府","369","28.472%"
"87",13,"飘府","369","45.402%"
"88",13,"飘府","369","68.868%"
"89",13,"飘府","369","31.466%"
"90",13,"飘府","369","22.121%"
"91",13,"飘府","369","26.374%"
"92",13,"飘府","369","15.789%"
"93",13,"飘府","369","41.520%"
"94",13,"飘府","369","34.653%"
"95",13,"飘府","369","35.751%"
"96",13,"飘府","369","40.854%"
"97",13,"飘府","369","36.066%"
"98",13,"飘府","369","15.534%"
"99",13,"飘府","369","50.806%"
"100",13,"飘府","369","33.871%"
"101",13,"飘府","369","45.588%"
"102",13,"飘府","369","19.243%"
"103",13,"飘府","369","52.632%"
"104",13,"飘府","369","44.030%"
"105",13,"飘府","369","29.798%"
"106",13,"飘府","369","51.818%"
