"","n","algo_title","problem_num","answer_percent"
"1",14,"정렬","362","58.067%"
"2",14,"정렬","362","31.170%"
"3",14,"정렬","362","65.051%"
"4",14,"정렬","362","60.305%"
"5",14,"정렬","362","22.847%"
"6",14,"정렬","362","28.449%"
"7",14,"정렬","362","39.376%"
"8",14,"정렬","362","48.933%"
"9",14,"정렬","362","61.824%"
"10",14,"정렬","362","41.167%"
"11",14,"정렬","362","69.392%"
"12",14,"정렬","362","56.696%"
"13",14,"정렬","362","48.512%"
"14",14,"정렬","362","26.728%"
"15",14,"정렬","362","38.967%"
"16",14,"정렬","362","36.414%"
"17",14,"정렬","362","35.598%"
"18",14,"정렬","362","62.383%"
"19",14,"정렬","362","67.216%"
"20",14,"정렬","362","48.359%"
"21",14,"정렬","362","33.712%"
"22",14,"정렬","362","75.348%"
"23",14,"정렬","362","44.286%"
"24",14,"정렬","362","28.166%"
"25",14,"정렬","362","58.663%"
"26",14,"정렬","362","35.606%"
"27",14,"정렬","362","29.872%"
"28",14,"정렬","362","22.036%"
"29",14,"정렬","362","47.164%"
"30",14,"정렬","362","54.744%"
"31",14,"정렬","362","80.148%"
"32",14,"정렬","362","27.457%"
"33",14,"정렬","362","82.024%"
"34",14,"정렬","362","58.368%"
"35",14,"정렬","362","36.961%"
"36",14,"정렬","362","46.562%"
"37",14,"정렬","362","39.530%"
"38",14,"정렬","362","77.132%"
"39",14,"정렬","362","28.265%"
"40",14,"정렬","362","28.091%"
"41",14,"정렬","362","31.526%"
"42",14,"정렬","362","29.903%"
"43",14,"정렬","362","26.703%"
"44",14,"정렬","362","73.888%"
"45",14,"정렬","362","58.522%"
"46",14,"정렬","362","51.326%"
"47",14,"정렬","362","40.568%"
"48",14,"정렬","362","59.052%"
"49",14,"정렬","362","22.248%"
"50",14,"정렬","362","67.925%"
"51",14,"정렬","362","52.469%"
"52",14,"정렬","362","60.202%"
"53",14,"정렬","362","61.474%"
"54",14,"정렬","362","31.168%"
"55",14,"정렬","362","68.584%"
"56",14,"정렬","362","15.216%"
"57",14,"정렬","362","37.286%"
"58",14,"정렬","362","21.304%"
"59",14,"정렬","362","44.051%"
"60",14,"정렬","362","50.123%"
"61",14,"정렬","362","82.842%"
"62",14,"정렬","362","38.333%"
"63",14,"정렬","362","39.109%"
"64",14,"정렬","362","61.719%"
"65",14,"정렬","362","63.225%"
"66",14,"정렬","362","51.278%"
"67",14,"정렬","362","29.348%"
"68",14,"정렬","362","44.997%"
"69",14,"정렬","362","43.005%"
"70",14,"정렬","362","43.446%"
"71",14,"정렬","362","30.303%"
"72",14,"정렬","362","39.844%"
"73",14,"정렬","362","36.412%"
"74",14,"정렬","362","38.143%"
"75",14,"정렬","362","33.710%"
"76",14,"정렬","362","30.905%"
"77",14,"정렬","362","31.085%"
"78",14,"정렬","362","44.417%"
"79",14,"정렬","362","50.711%"
"80",14,"정렬","362","38.506%"
"81",14,"정렬","362","37.878%"
"82",14,"정렬","362","52.990%"
"83",14,"정렬","362","66.620%"
"84",14,"정렬","362","44.714%"
"85",14,"정렬","362","74.590%"
"86",14,"정렬","362","50.627%"
"87",14,"정렬","362","36.628%"
"88",14,"정렬","362","49.648%"
"89",14,"정렬","362","44.978%"
"90",14,"정렬","362","63.208%"
"91",14,"정렬","362","58.533%"
"92",14,"정렬","362","27.691%"
"93",14,"정렬","362","24.679%"
"94",14,"정렬","362","77.963%"
"95",14,"정렬","362","36.656%"
"96",14,"정렬","362","23.367%"
"97",14,"정렬","362","42.379%"
"98",14,"정렬","362","36.768%"
"99",14,"정렬","362","44.079%"
"100",14,"정렬","362","34.659%"
"101",14,"정렬","362","35.639%"
"102",14,"정렬","362","37.252%"
"103",14,"정렬","362","93.396%"
"104",14,"정렬","362","38.757%"
"105",14,"정렬","362","84.866%"
"106",14,"정렬","362","60.600%"
"107",14,"정렬","362","30.752%"
"108",14,"정렬","362","49.908%"
"109",14,"정렬","362","24.129%"
"110",14,"정렬","362","34.232%"
"111",14,"정렬","362","35.328%"
"112",14,"정렬","362","66.757%"
"113",14,"정렬","362","87.097%"
"114",14,"정렬","362","32.143%"
"115",14,"정렬","362","35.816%"
"116",14,"정렬","362","39.706%"
"117",14,"정렬","362","28.032%"
"118",14,"정렬","362","31.222%"
"119",14,"정렬","362","20.829%"
"120",14,"정렬","362","83.471%"
"121",14,"정렬","362","40.044%"
"122",14,"정렬","362","49.300%"
"123",14,"정렬","362","38.479%"
"124",14,"정렬","362","25.710%"
"125",14,"정렬","362","43.669%"
"126",14,"정렬","362","40.852%"
"127",14,"정렬","362","32.591%"
"128",14,"정렬","362","24.759%"
"129",14,"정렬","362","53.521%"
"130",14,"정렬","362","52.234%"
"131",14,"정렬","362","33.407%"
"132",14,"정렬","362","18.392%"
"133",14,"정렬","362","31.602%"
"134",14,"정렬","362","47.697%"
"135",14,"정렬","362","43.114%"
"136",14,"정렬","362","70.000%"
"137",14,"정렬","362","25.989%"
"138",14,"정렬","362","69.744%"
"139",14,"정렬","362","50.746%"
"140",14,"정렬","362","46.392%"
"141",14,"정렬","362","49.810%"
"142",14,"정렬","362","79.394%"
"143",14,"정렬","362","73.295%"
"144",14,"정렬","362","35.754%"
"145",14,"정렬","362","64.398%"
"146",14,"정렬","362","40.893%"
"147",14,"정렬","362","45.136%"
"148",14,"정렬","362","33.237%"
"149",14,"정렬","362","37.086%"
"150",14,"정렬","362","55.897%"
"151",14,"정렬","362","57.672%"
"152",14,"정렬","362","49.083%"
"153",14,"정렬","362","80.000%"
"154",14,"정렬","362","53.191%"
"155",14,"정렬","362","45.205%"
"156",14,"정렬","362","26.203%"
"157",14,"정렬","362","50.802%"
"158",14,"정렬","362","52.247%"
"159",14,"정렬","362","39.316%"
"160",14,"정렬","362","42.130%"
"161",14,"정렬","362","53.892%"
"162",14,"정렬","362","53.988%"
"163",14,"정렬","362","17.206%"
"164",14,"정렬","362","59.155%"
"165",14,"정렬","362","29.066%"
"166",14,"정렬","362","55.263%"
"167",14,"정렬","362","34.146%"
"168",14,"정렬","362","38.498%"
"169",14,"정렬","362","35.586%"
"170",14,"정렬","362","51.299%"
"171",14,"정렬","362","50.968%"
"172",14,"정렬","362","34.685%"
"173",14,"정렬","362","78.125%"
"174",14,"정렬","362","87.059%"
"175",14,"정렬","362","55.814%"
"176",14,"정렬","362","24.080%"
"177",14,"정렬","362","18.919%"
"178",14,"정렬","362","44.231%"
"179",14,"정렬","362","38.068%"
"180",14,"정렬","362","85.897%"
"181",14,"정렬","362","69.072%"
"182",14,"정렬","362","29.778%"
"183",14,"정렬","362","29.358%"
"184",14,"정렬","362","46.377%"
"185",14,"정렬","362","62.136%"
"186",14,"정렬","362","55.357%"
"187",14,"정렬","362","66.667%"
"188",14,"정렬","362","24.797%"
"189",14,"정렬","362","46.512%"
"190",14,"정렬","362","18.471%"
"191",14,"정렬","362","64.045%"
"192",14,"정렬","362","21.429%"
"193",14,"정렬","362","56.000%"
"194",14,"정렬","362","36.364%"
"195",14,"정렬","362","38.095%"
"196",14,"정렬","362","39.286%"
"197",14,"정렬","362","72.000%"
"198",14,"정렬","362","47.788%"
"199",14,"정렬","362","37.857%"
"200",14,"정렬","362","49.074%"
"201",14,"정렬","362","49.074%"
"202",14,"정렬","362","46.789%"
"203",14,"정렬","362","45.045%"
"204",14,"정렬","362","14.497%"
"205",14,"정렬","362","32.886%"
"206",14,"정렬","362","21.586%"
"207",14,"정렬","362","41.880%"
"208",14,"정렬","362","59.494%"
"209",14,"정렬","362","21.171%"
"210",14,"정렬","362","56.098%"
"211",14,"정렬","362","45.918%"
"212",14,"정렬","362","45.361%"
"213",14,"정렬","362","60.274%"
"214",14,"정렬","362","58.904%"
"215",14,"정렬","362","31.387%"
"216",14,"정렬","362","63.636%"
"217",14,"정렬","362","33.333%"
"218",14,"정렬","362","82.353%"
"219",14,"정렬","362","32.558%"
"220",14,"정렬","362","54.167%"
"221",14,"정렬","362","56.716%"
"222",14,"정렬","362","39.175%"
"223",14,"정렬","362","48.101%"
"224",14,"정렬","362","82.609%"
"225",14,"정렬","362","55.224%"
"226",14,"정렬","362","32.743%"
"227",14,"정렬","362","63.158%"
"228",14,"정렬","362","53.731%"
"229",14,"정렬","362","26.667%"
"230",14,"정렬","362","43.902%"
"231",14,"정렬","362","28.346%"
"232",14,"정렬","362","63.636%"
"233",14,"정렬","362","22.013%"
"234",14,"정렬","362","64.815%"
"235",14,"정렬","362","53.846%"
"236",14,"정렬","362","19.767%"
"237",14,"정렬","362","68.000%"
"238",14,"정렬","362","60.000%"
"239",14,"정렬","362","82.051%"
"240",14,"정렬","362","35.955%"
"241",14,"정렬","362","64.583%"
"242",14,"정렬","362","28.182%"
"243",14,"정렬","362","43.662%"
"244",14,"정렬","362","43.056%"
"245",14,"정렬","362","79.487%"
"246",14,"정렬","362","50.820%"
"247",14,"정렬","362","96.875%"
"248",14,"정렬","362","47.619%"
"249",14,"정렬","362","28.571%"
"250",14,"정렬","362","25.862%"
"251",14,"정렬","362","37.037%"
"252",14,"정렬","362","52.632%"
"253",14,"정렬","362","57.692%"
"254",14,"정렬","362","40.278%"
"255",14,"정렬","362","43.750%"
"256",14,"정렬","362","45.000%"
"257",14,"정렬","362","74.286%"
"258",14,"정렬","362","41.270%"
"259",14,"정렬","362","66.667%"
"260",14,"정렬","362","69.444%"
"261",14,"정렬","362","25.253%"
"262",14,"정렬","362","40.984%"
"263",14,"정렬","362","67.647%"
"264",14,"정렬","362","63.636%"
"265",14,"정렬","362","57.143%"
"266",14,"정렬","362","35.714%"
"267",14,"정렬","362","47.619%"
"268",14,"정렬","362","62.500%"
"269",14,"정렬","362","67.857%"
"270",14,"정렬","362","86.364%"
"271",14,"정렬","362","90.476%"
"272",14,"정렬","362","55.882%"
"273",14,"정렬","362","16.522%"
"274",14,"정렬","362","40.000%"
"275",14,"정렬","362","5.960%"
"276",14,"정렬","362","81.818%"
"277",14,"정렬","362","69.231%"
"278",14,"정렬","362","78.261%"
"279",14,"정렬","362","16.981%"
"280",14,"정렬","362","24.658%"
"281",14,"정렬","362","25.000%"
"282",14,"정렬","362","68.000%"
"283",14,"정렬","362","80.000%"
"284",14,"정렬","362","55.172%"
"285",14,"정렬","362","42.105%"
"286",14,"정렬","362","72.727%"
"287",14,"정렬","362","59.259%"
"288",14,"정렬","362","93.750%"
"289",14,"정렬","362","53.571%"
"290",14,"정렬","362","71.429%"
"291",14,"정렬","362","93.750%"
"292",14,"정렬","362","83.333%"
"293",14,"정렬","362","83.333%"
"294",14,"정렬","362","35.897%"
"295",14,"정렬","362","100.000%"
"296",14,"정렬","362","22.951%"
"297",14,"정렬","362","70.000%"
"298",14,"정렬","362","100.000%"
"299",14,"정렬","362","46.667%"
"300",14,"정렬","362","50.000%"
"301",14,"정렬","362","50.000%"
"302",14,"정렬","362","37.143%"
"303",14,"정렬","362","72.222%"
"304",14,"정렬","362","32.500%"
"305",14,"정렬","362","70.588%"
"306",14,"정렬","362","66.667%"
"307",14,"정렬","362","54.545%"
"308",14,"정렬","362","100.000%"
"309",14,"정렬","362","26.087%"
"310",14,"정렬","362","55.000%"
"311",14,"정렬","362","23.256%"
"312",14,"정렬","362","34.483%"
"313",14,"정렬","362","71.429%"
"314",14,"정렬","362","100.000%"
"315",14,"정렬","362","40.909%"
"316",14,"정렬","362","47.368%"
"317",14,"정렬","362","64.286%"
"318",14,"정렬","362","69.231%"
"319",14,"정렬","362","69.231%"
"320",14,"정렬","362","42.105%"
"321",14,"정렬","362","100.000%"
"322",14,"정렬","362","42.105%"
"323",14,"정렬","362","40.000%"
"324",14,"정렬","362","53.846%"
"325",14,"정렬","362","100.000%"
"326",14,"정렬","362","41.176%"
"327",14,"정렬","362","58.333%"
"328",14,"정렬","362","20.000%"
"329",14,"정렬","362","26.923%"
"330",14,"정렬","362","33.333%"
"331",14,"정렬","362","23.077%"
"332",14,"정렬","362","60.000%"
"333",14,"정렬","362","100.000%"
"334",14,"정렬","362","85.714%"
"335",14,"정렬","362","85.714%"
"336",14,"정렬","362","42.857%"
"337",14,"정렬","362","54.545%"
"338",14,"정렬","362","85.714%"
"339",14,"정렬","362","83.333%"
"340",14,"정렬","362","50.000%"
"341",14,"정렬","362","71.429%"
"342",14,"정렬","362","15.152%"
"343",14,"정렬","362","62.500%"
"344",14,"정렬","362","33.333%"
"345",14,"정렬","362","40.000%"
"346",14,"정렬","362","80.000%"
"347",14,"정렬","362","33.333%"
"348",14,"정렬","362","100.000%"
"349",14,"정렬","362","44.444%"
"350",14,"정렬","362","80.000%"
"351",14,"정렬","362","66.667%"
"352",14,"정렬","362","7.317%"
"353",14,"정렬","362","100.000%"
"354",14,"정렬","362","5.085%"
"355",14,"정렬","362","75.000%"
"356",14,"정렬","362","75.000%"
"357",14,"정렬","362","25.000%"
"358",14,"정렬","362","100.000%"
"359",14,"정렬","362","100.000%"
"360",14,"정렬","362","100.000%"
"361",14,"정렬","362","100.000%"
"362",14,"정렬","362","100.000%"
