"","n","algo_title","problem_num","answer_percent"
"1",18,"조합론","217","57.564%"
"2",18,"조합론","217","48.424%"
"3",18,"조합론","217","53.765%"
"4",18,"조합론","217","64.857%"
"5",18,"조합론","217","44.237%"
"6",18,"조합론","217","41.978%"
"7",18,"조합론","217","27.930%"
"8",18,"조합론","217","30.798%"
"9",18,"조합론","217","58.777%"
"10",18,"조합론","217","31.206%"
"11",18,"조합론","217","24.572%"
"12",18,"조합론","217","65.755%"
"13",18,"조합론","217","65.512%"
"14",18,"조합론","217","44.803%"
"15",18,"조합론","217","44.428%"
"16",18,"조합론","217","35.608%"
"17",18,"조합론","217","56.447%"
"18",18,"조합론","217","65.186%"
"19",18,"조합론","217","40.273%"
"20",18,"조합론","217","31.704%"
"21",18,"조합론","217","66.788%"
"22",18,"조합론","217","41.734%"
"23",18,"조합론","217","55.950%"
"24",18,"조합론","217","50.288%"
"25",18,"조합론","217","45.423%"
"26",18,"조합론","217","57.346%"
"27",18,"조합론","217","37.914%"
"28",18,"조합론","217","40.530%"
"29",18,"조합론","217","47.332%"
"30",18,"조합론","217","42.418%"
"31",18,"조합론","217","40.044%"
"32",18,"조합론","217","85.789%"
"33",18,"조합론","217","40.106%"
"34",18,"조합론","217","36.829%"
"35",18,"조합론","217","47.319%"
"36",18,"조합론","217","20.768%"
"37",18,"조합론","217","20.635%"
"38",18,"조합론","217","60.181%"
"39",18,"조합론","217","70.286%"
"40",18,"조합론","217","52.018%"
"41",18,"조합론","217","42.169%"
"42",18,"조합론","217","39.615%"
"43",18,"조합론","217","88.776%"
"44",18,"조합론","217","33.865%"
"45",18,"조합론","217","30.682%"
"46",18,"조합론","217","22.659%"
"47",18,"조합론","217","47.097%"
"48",18,"조합론","217","40.351%"
"49",18,"조합론","217","36.757%"
"50",18,"조합론","217","49.242%"
"51",18,"조합론","217","52.632%"
"52",18,"조합론","217","47.244%"
"53",18,"조합론","217","72.500%"
"54",18,"조합론","217","44.737%"
"55",18,"조합론","217","43.478%"
"56",18,"조합론","217","87.719%"
"57",18,"조합론","217","52.174%"
"58",18,"조합론","217","29.630%"
"59",18,"조합론","217","64.789%"
"60",18,"조합론","217","25.000%"
"61",18,"조합론","217","68.852%"
"62",18,"조합론","217","92.857%"
"63",18,"조합론","217","49.351%"
"64",18,"조합론","217","66.667%"
"65",18,"조합론","217","86.047%"
"66",18,"조합론","217","33.645%"
"67",18,"조합론","217","72.917%"
"68",18,"조합론","217","19.883%"
"69",18,"조합론","217","94.286%"
"70",18,"조합론","217","94.286%"
"71",18,"조합론","217","34.783%"
"72",18,"조합론","217","38.095%"
"73",18,"조합론","217","58.491%"
"74",18,"조합론","217","62.000%"
"75",18,"조합론","217","44.776%"
"76",18,"조합론","217","6.944%"
"77",18,"조합론","217","50.847%"
"78",18,"조합론","217","24.167%"
"79",18,"조합론","217","39.726%"
"80",18,"조합론","217","21.875%"
"81",18,"조합론","217","45.000%"
"82",18,"조합론","217","30.337%"
"83",18,"조합론","217","63.415%"
"84",18,"조합론","217","92.857%"
"85",18,"조합론","217","25.253%"
"86",18,"조합론","217","96.154%"
"87",18,"조합론","217","25.000%"
"88",18,"조합론","217","88.462%"
"89",18,"조합론","217","73.333%"
"90",18,"조합론","217","91.304%"
"91",18,"조합론","217","91.304%"
"92",18,"조합론","217","100.000%"
"93",18,"조합론","217","47.619%"
"94",18,"조합론","217","35.088%"
"95",18,"조합론","217","58.824%"
"96",18,"조합론","217","80.000%"
"97",18,"조합론","217","76.000%"
"98",18,"조합론","217","32.203%"
"99",18,"조합론","217","100.000%"
"100",18,"조합론","217","34.545%"
"101",18,"조합론","217","100.000%"
"102",18,"조합론","217","34.545%"
"103",18,"조합론","217","36.735%"
"104",18,"조합론","217","85.714%"
"105",18,"조합론","217","16.981%"
"106",18,"조합론","217","73.913%"
"107",18,"조합론","217","62.963%"
"108",18,"조합론","217","80.952%"
"109",18,"조합론","217","30.909%"
"110",18,"조합론","217","77.273%"
"111",18,"조합론","217","44.737%"
"112",18,"조합론","217","45.946%"
"113",18,"조합론","217","41.026%"
"114",18,"조합론","217","45.714%"
"115",18,"조합론","217","53.333%"
"116",18,"조합론","217","48.485%"
"117",18,"조합론","217","84.211%"
"118",18,"조합론","217","50.000%"
"119",18,"조합론","217","38.095%"
"120",18,"조합론","217","51.724%"
"121",18,"조합론","217","44.118%"
"122",18,"조합론","217","83.333%"
"123",18,"조합론","217","57.692%"
"124",18,"조합론","217","37.500%"
"125",18,"조합론","217","25.455%"
"126",18,"조합론","217","31.818%"
"127",18,"조합론","217","60.870%"
"128",18,"조합론","217","100.000%"
"129",18,"조합론","217","59.091%"
"130",18,"조합론","217","81.250%"
"131",18,"조합론","217","56.522%"
"132",18,"조합론","217","81.250%"
"133",18,"조합론","217","85.714%"
"134",18,"조합론","217","23.077%"
"135",18,"조합론","217","50.000%"
"136",18,"조합론","217","100.000%"
"137",18,"조합론","217","70.588%"
"138",18,"조합론","217","85.714%"
"139",18,"조합론","217","85.714%"
"140",18,"조합론","217","84.615%"
"141",18,"조합론","217","84.615%"
"142",18,"조합론","217","47.826%"
"143",18,"조합론","217","61.111%"
"144",18,"조합론","217","27.500%"
"145",18,"조합론","217","28.947%"
"146",18,"조합론","217","90.909%"
"147",18,"조합론","217","66.667%"
"148",18,"조합론","217","90.909%"
"149",18,"조합론","217","83.333%"
"150",18,"조합론","217","55.556%"
"151",18,"조합론","217","100.000%"
"152",18,"조합론","217","90.000%"
"153",18,"조합론","217","90.000%"
"154",18,"조합론","217","60.000%"
"155",18,"조합론","217","100.000%"
"156",18,"조합론","217","64.286%"
"157",18,"조합론","217","80.000%"
"158",18,"조합론","217","80.000%"
"159",18,"조합론","217","25.000%"
"160",18,"조합론","217","80.000%"
"161",18,"조합론","217","88.889%"
"162",18,"조합론","217","88.889%"
"163",18,"조합론","217","38.889%"
"164",18,"조합론","217","25.000%"
"165",18,"조합론","217","43.750%"
"166",18,"조합론","217","43.750%"
"167",18,"조합론","217","77.778%"
"168",18,"조합론","217","53.846%"
