"","n","algo_title","problem_num","answer_percent"
"1",20,"表捞 快急 沤祸","169","32.578%"
"2",20,"表捞 快急 沤祸","169","43.739%"
"3",20,"表捞 快急 沤祸","169","35.131%"
"4",20,"表捞 快急 沤祸","169","46.092%"
"5",20,"表捞 快急 沤祸","169","49.911%"
"6",20,"表捞 快急 沤祸","169","34.626%"
"7",20,"表捞 快急 沤祸","169","56.696%"
"8",20,"表捞 快急 沤祸","169","30.441%"
"9",20,"表捞 快急 沤祸","169","58.187%"
"10",20,"表捞 快急 沤祸","169","45.545%"
"11",20,"表捞 快急 沤祸","169","26.514%"
"12",20,"表捞 快急 沤祸","169","44.062%"
"13",20,"表捞 快急 沤祸","169","24.609%"
"14",20,"表捞 快急 沤祸","169","25.360%"
"15",20,"表捞 快急 沤祸","169","37.028%"
"16",20,"表捞 快急 沤祸","169","20.820%"
"17",20,"表捞 快急 沤祸","169","40.180%"
"18",20,"表捞 快急 沤祸","169","52.149%"
"19",20,"表捞 快急 沤祸","169","44.426%"
"20",20,"表捞 快急 沤祸","169","73.522%"
"21",20,"表捞 快急 沤祸","169","28.022%"
"22",20,"表捞 快急 沤祸","169","46.689%"
"23",20,"表捞 快急 沤祸","169","44.171%"
"24",20,"表捞 快急 沤祸","169","29.082%"
"25",20,"表捞 快急 沤祸","169","46.197%"
"26",20,"表捞 快急 沤祸","169","32.734%"
"27",20,"表捞 快急 沤祸","169","27.458%"
"28",20,"表捞 快急 沤祸","169","38.102%"
"29",20,"表捞 快急 沤祸","169","18.721%"
"30",20,"表捞 快急 沤祸","169","45.772%"
"31",20,"表捞 快急 沤祸","169","32.680%"
"32",20,"表捞 快急 沤祸","169","50.929%"
"33",20,"表捞 快急 沤祸","169","52.330%"
"34",20,"表捞 快急 沤祸","169","22.662%"
"35",20,"表捞 快急 沤祸","169","21.667%"
"36",20,"表捞 快急 沤祸","169","43.599%"
"37",20,"表捞 快急 沤祸","169","42.637%"
"38",20,"表捞 快急 沤祸","169","49.226%"
"39",20,"表捞 快急 沤祸","169","62.016%"
"40",20,"表捞 快急 沤祸","169","49.788%"
"41",20,"表捞 快急 沤祸","169","20.380%"
"42",20,"表捞 快急 沤祸","169","49.642%"
"43",20,"表捞 快急 沤祸","169","38.782%"
"44",20,"表捞 快急 沤祸","169","59.521%"
"45",20,"表捞 快急 沤祸","169","26.242%"
"46",20,"表捞 快急 沤祸","169","36.729%"
"47",20,"表捞 快急 沤祸","169","24.206%"
"48",20,"表捞 快急 沤祸","169","33.094%"
"49",20,"表捞 快急 沤祸","169","43.953%"
"50",20,"表捞 快急 沤祸","169","31.303%"
"51",20,"表捞 快急 沤祸","169","34.232%"
"52",20,"表捞 快急 沤祸","169","22.645%"
"53",20,"表捞 快急 沤祸","169","34.853%"
"54",20,"表捞 快急 沤祸","169","63.366%"
"55",20,"表捞 快急 沤祸","169","69.022%"
"56",20,"表捞 快急 沤祸","169","39.124%"
"57",20,"表捞 快急 沤祸","169","48.263%"
"58",20,"表捞 快急 沤祸","169","42.599%"
"59",20,"表捞 快急 沤祸","169","40.870%"
"60",20,"表捞 快急 沤祸","169","35.090%"
"61",20,"表捞 快急 沤祸","169","68.546%"
"62",20,"表捞 快急 沤祸","169","43.954%"
"63",20,"表捞 快急 沤祸","169","44.556%"
"64",20,"表捞 快急 沤祸","169","57.254%"
"65",20,"表捞 快急 沤祸","169","48.869%"
"66",20,"表捞 快急 沤祸","169","54.155%"
"67",20,"表捞 快急 沤祸","169","31.571%"
"68",20,"表捞 快急 沤祸","169","47.643%"
"69",20,"表捞 快急 沤祸","169","70.711%"
"70",20,"表捞 快急 沤祸","169","35.529%"
"71",20,"表捞 快急 沤祸","169","31.303%"
"72",20,"表捞 快急 沤祸","169","40.936%"
"73",20,"表捞 快急 沤祸","169","74.444%"
"74",20,"表捞 快急 沤祸","169","57.078%"
"75",20,"表捞 快急 沤祸","169","48.594%"
"76",20,"表捞 快急 沤祸","169","47.984%"
"77",20,"表捞 快急 沤祸","169","16.104%"
"78",20,"表捞 快急 沤祸","169","33.667%"
