"","n","algo_title","problem_num","answer_percent"
"1",22,"비트마스킹","157","49.042%"
"2",22,"비트마스킹","157","73.654%"
"3",22,"비트마스킹","157","29.731%"
"4",22,"비트마스킹","157","27.902%"
"5",22,"비트마스킹","157","39.688%"
"6",22,"비트마스킹","157","24.272%"
"7",22,"비트마스킹","157","30.618%"
"8",22,"비트마스킹","157","46.413%"
"9",22,"비트마스킹","157","24.058%"
"10",22,"비트마스킹","157","22.630%"
"11",22,"비트마스킹","157","29.003%"
"12",22,"비트마스킹","157","64.016%"
"13",22,"비트마스킹","157","39.440%"
"14",22,"비트마스킹","157","34.126%"
"15",22,"비트마스킹","157","53.750%"
"16",22,"비트마스킹","157","23.398%"
"17",22,"비트마스킹","157","26.242%"
"18",22,"비트마스킹","157","50.552%"
"19",22,"비트마스킹","157","37.449%"
"20",22,"비트마스킹","157","40.260%"
"21",22,"비트마스킹","157","41.299%"
"22",22,"비트마스킹","157","58.869%"
"23",22,"비트마스킹","157","32.248%"
"24",22,"비트마스킹","157","28.756%"
"25",22,"비트마스킹","157","39.424%"
"26",22,"비트마스킹","157","24.571%"
"27",22,"비트마스킹","157","46.341%"
"28",22,"비트마스킹","157","53.291%"
"29",22,"비트마스킹","157","37.750%"
"30",22,"비트마스킹","157","45.312%"
"31",22,"비트마스킹","157","57.958%"
"32",22,"비트마스킹","157","49.202%"
"33",22,"비트마스킹","157","51.807%"
"34",22,"비트마스킹","157","60.714%"
"35",22,"비트마스킹","157","23.002%"
"36",22,"비트마스킹","157","23.609%"
"37",22,"비트마스킹","157","26.886%"
"38",22,"비트마스킹","157","43.667%"
"39",22,"비트마스킹","157","32.581%"
"40",22,"비트마스킹","157","7.660%"
"41",22,"비트마스킹","157","28.141%"
"42",22,"비트마스킹","157","33.217%"
"43",22,"비트마스킹","157","32.364%"
"44",22,"비트마스킹","157","48.876%"
"45",22,"비트마스킹","157","37.788%"
"46",22,"비트마스킹","157","32.773%"
"47",22,"비트마스킹","157","34.529%"
"48",22,"비트마스킹","157","22.659%"
"49",22,"비트마스킹","157","24.161%"
"50",22,"비트마스킹","157","77.419%"
"51",22,"비트마스킹","157","29.437%"
"52",22,"비트마스킹","157","35.556%"
"53",22,"비트마스킹","157","27.727%"
"54",22,"비트마스킹","157","39.189%"
"55",22,"비트마스킹","157","40.741%"
"56",22,"비트마스킹","157","44.737%"
"57",22,"비트마스킹","157","33.113%"
"58",22,"비트마스킹","157","45.872%"
"59",22,"비트마스킹","157","27.222%"
"60",22,"비트마스킹","157","60.759%"
"61",22,"비트마스킹","157","33.333%"
"62",22,"비트마스킹","157","64.789%"
"63",22,"비트마스킹","157","48.810%"
"64",22,"비트마스킹","157","41.935%"
"65",22,"비트마스킹","157","44.706%"
"66",22,"비트마스킹","157","34.862%"
"67",22,"비트마스킹","157","38.542%"
"68",22,"비트마스킹","157","49.315%"
"69",22,"비트마스킹","157","48.611%"
"70",22,"비트마스킹","157","25.362%"
"71",22,"비트마스킹","157","55.932%"
"72",22,"비트마스킹","157","13.744%"
"73",22,"비트마스킹","157","52.727%"
"74",22,"비트마스킹","157","32.558%"
"75",22,"비트마스킹","157","34.568%"
"76",22,"비트마스킹","157","62.222%"
"77",22,"비트마스킹","157","30.337%"
"78",22,"비트마스킹","157","30.682%"
"79",22,"비트마스킹","157","79.412%"
"80",22,"비트마스킹","157","45.283%"
"81",22,"비트마스킹","157","38.095%"
"82",22,"비트마스킹","157","46.939%"
"83",22,"비트마스킹","157","48.889%"
"84",22,"비트마스킹","157","30.986%"
"85",22,"비트마스킹","157","38.182%"
"86",22,"비트마스킹","157","54.054%"
"87",22,"비트마스킹","157","74.074%"
"88",22,"비트마스킹","157","86.364%"
"89",22,"비트마스킹","157","50.000%"
"90",22,"비트마스킹","157","24.658%"
"91",22,"비트마스킹","157","27.419%"
"92",22,"비트마스킹","157","94.444%"
"93",22,"비트마스킹","157","80.000%"
"94",22,"비트마스킹","157","47.059%"
"95",22,"비트마스킹","157","66.667%"
"96",22,"비트마스킹","157","59.259%"
"97",22,"비트마스킹","157","68.182%"
"98",22,"비트마스킹","157","45.455%"
