"","n","algo_title","problem_num","answer_percent"
"1",24,"분리 집합","146","30.073%"
"2",24,"분리 집합","146","27.499%"
"3",24,"분리 집합","146","39.605%"
"4",24,"분리 집합","146","39.529%"
"5",24,"분리 집합","146","27.458%"
"6",24,"분리 집합","146","19.019%"
"7",24,"분리 집합","146","23.199%"
"8",24,"분리 집합","146","46.129%"
"9",24,"분리 집합","146","25.873%"
"10",24,"분리 집합","146","26.965%"
"11",24,"분리 집합","146","32.766%"
"12",24,"분리 집합","146","23.636%"
"13",24,"분리 집합","146","30.693%"
"14",24,"분리 집합","146","23.353%"
"15",24,"분리 집합","146","23.633%"
"16",24,"분리 집합","146","26.791%"
"17",24,"분리 집합","146","36.729%"
"18",24,"분리 집합","146","34.438%"
"19",24,"분리 집합","146","38.151%"
"20",24,"분리 집합","146","26.190%"
"21",24,"분리 집합","146","39.124%"
"22",24,"분리 집합","146","36.513%"
"23",24,"분리 집합","146","51.577%"
"24",24,"분리 집합","146","44.556%"
"25",24,"분리 집합","146","31.277%"
"26",24,"분리 집합","146","43.505%"
"27",24,"분리 집합","146","25.935%"
"28",24,"분리 집합","146","34.073%"
"29",24,"분리 집합","146","37.443%"
"30",24,"분리 집합","146","40.852%"
"31",24,"분리 집합","146","67.382%"
"32",24,"분리 집합","146","30.752%"
"33",24,"분리 집합","146","27.586%"
"34",24,"분리 집합","146","34.031%"
"35",24,"분리 집합","146","57.207%"
"36",24,"분리 집합","146","59.391%"
"37",24,"분리 집합","146","33.528%"
"38",24,"분리 집합","146","23.656%"
"39",24,"분리 집합","146","33.667%"
"40",24,"분리 집합","146","76.984%"
"41",24,"분리 집합","146","53.409%"
"42",24,"분리 집합","146","18.609%"
"43",24,"분리 집합","146","56.875%"
"44",24,"분리 집합","146","51.429%"
"45",24,"분리 집합","146","50.575%"
"46",24,"분리 집합","146","17.087%"
"47",24,"분리 집합","146","59.574%"
"48",24,"분리 집합","146","47.977%"
"49",24,"분리 집합","146","46.591%"
"50",24,"분리 집합","146","25.545%"
"51",24,"분리 집합","146","24.841%"
"52",24,"분리 집합","146","73.529%"
"53",24,"분리 집합","146","59.677%"
"54",24,"분리 집합","146","75.258%"
"55",24,"분리 집합","146","36.224%"
"56",24,"분리 집합","146","34.653%"
"57",24,"분리 집합","146","33.495%"
"58",24,"분리 집합","146","35.751%"
"59",24,"분리 집합","146","24.460%"
"60",24,"분리 집합","146","69.474%"
"61",24,"분리 집합","146","39.634%"
"62",24,"분리 집합","146","33.871%"
"63",24,"분리 집합","146","26.818%"
"64",24,"분리 집합","146","55.319%"
"65",24,"분리 집합","146","39.535%"
"66",24,"분리 집합","146","57.831%"
"67",24,"분리 집합","146","21.659%"
"68",24,"분리 집합","146","76.667%"
"69",24,"분리 집합","146","42.857%"
"70",24,"분리 집합","146","26.471%"
"71",24,"분리 집합","146","30.935%"
"72",24,"분리 집합","146","21.608%"
"73",24,"분리 집합","146","25.466%"
"74",24,"분리 집합","146","35.714%"
"75",24,"분리 집합","146","20.419%"
"76",24,"분리 집합","146","40.449%"
"77",24,"분리 집합","146","20.809%"
"78",24,"분리 집합","146","53.731%"
"79",24,"분리 집합","146","41.772%"
"80",24,"분리 집합","146","40.506%"
"81",24,"분리 집합","146","52.542%"
"82",24,"분리 집합","146","27.885%"
"83",24,"분리 집합","146","50.943%"
"84",24,"분리 집합","146","38.571%"
"85",24,"분리 집합","146","50.000%"
"86",24,"분리 집합","146","57.778%"
"87",24,"분리 집합","146","69.444%"
"88",24,"분리 집합","146","21.186%"
"89",24,"분리 집합","146","34.783%"
"90",24,"분리 집합","146","68.571%"
"91",24,"분리 집합","146","31.579%"
"92",24,"분리 집합","146","39.655%"
"93",24,"분리 집합","146","44.231%"
"94",24,"분리 집합","146","13.018%"
"95",24,"분리 집합","146","44.000%"
"96",24,"분리 집합","146","43.750%"
"97",24,"분리 집합","146","45.652%"
"98",24,"분리 집합","146","31.746%"
"99",24,"분리 집합","146","29.851%"
"100",24,"분리 집합","146","23.750%"
"101",24,"분리 집합","146","52.941%"
"102",24,"분리 집합","146","85.714%"
"103",24,"분리 집합","146","43.902%"
"104",24,"분리 집합","146","36.735%"
"105",24,"분리 집합","146","45.946%"
"106",24,"분리 집합","146","25.758%"
"107",24,"분리 집합","146","68.000%"
"108",24,"분리 집합","146","21.918%"
"109",24,"분리 집합","146","80.000%"
"110",24,"분리 집합","146","36.364%"
"111",24,"분리 집합","146","45.455%"
"112",24,"분리 집합","146","25.455%"
"113",24,"분리 집합","146","31.818%"
"114",24,"분리 집합","146","50.000%"
"115",24,"분리 집합","146","30.952%"
"116",24,"분리 집합","146","92.857%"
"117",24,"분리 집합","146","22.917%"
"118",24,"분리 집합","146","83.333%"
"119",24,"분리 집합","146","100.000%"
"120",24,"분리 집합","146","23.256%"
"121",24,"분리 집합","146","66.667%"
"122",24,"분리 집합","146","90.909%"
"123",24,"분리 집합","146","75.000%"
"124",24,"분리 집합","146","90.000%"
"125",24,"분리 집합","146","27.586%"
"126",24,"분리 집합","146","36.364%"
"127",24,"분리 집합","146","11.940%"
"128",24,"분리 집합","146","63.636%"
"129",24,"분리 집합","146","33.333%"
"130",24,"분리 집합","146","77.778%"
"131",24,"분리 집합","146","77.778%"
"132",24,"분리 집합","146","46.667%"
"133",24,"분리 집합","146","100.000%"
"134",24,"분리 집합","146","85.714%"
"135",24,"분리 집합","146","100.000%"
"136",24,"분리 집합","146","23.810%"
"137",24,"분리 집합","146","100.000%"
"138",24,"분리 집합","146","83.333%"
"139",24,"분리 집합","146","66.667%"
"140",24,"분리 집합","146","100.000%"
"141",24,"분리 집합","146","25.000%"
"142",24,"분리 집합","146","23.077%"
"143",24,"분리 집합","146","100.000%"
"144",24,"분리 집합","146","100.000%"
"145",24,"분리 집합","146","66.667%"
"146",24,"분리 집합","146","100.000%"
