"","n","algo_title","problem_num","answer_percent"
"1",2,"다이나믹 프로그래밍","1278","31.878%"
"2",2,"다이나믹 프로그래밍","1278","32.129%"
"3",2,"다이나믹 프로그래밍","1278","61.694%"
"4",2,"다이나믹 프로그래밍","1278","29.789%"
"5",2,"다이나믹 프로그래밍","1278","34.645%"
"6",2,"다이나믹 프로그래밍","1278","47.982%"
"7",2,"다이나믹 프로그래밍","1278","36.530%"
"8",2,"다이나믹 프로그래밍","1278","58.694%"
"9",2,"다이나믹 프로그래밍","1278","37.673%"
"10",2,"다이나믹 프로그래밍","1278","34.027%"
"11",2,"다이나믹 프로그래밍","1278","38.481%"
"12",2,"다이나믹 프로그래밍","1278","28.903%"
"13",2,"다이나믹 프로그래밍","1278","36.772%"
"14",2,"다이나믹 프로그래밍","1278","28.372%"
"15",2,"다이나믹 프로그래밍","1278","59.579%"
"16",2,"다이나믹 프로그래밍","1278","66.875%"
"17",2,"다이나믹 프로그래밍","1278","39.867%"
"18",2,"다이나믹 프로그래밍","1278","47.674%"
"19",2,"다이나믹 프로그래밍","1278","60.509%"
"20",2,"다이나믹 프로그래밍","1278","48.657%"
"21",2,"다이나믹 프로그래밍","1278","48.424%"
"22",2,"다이나믹 프로그래밍","1278","47.025%"
"23",2,"다이나믹 프로그래밍","1278","43.034%"
"24",2,"다이나믹 프로그래밍","1278","40.504%"
"25",2,"다이나믹 프로그래밍","1278","40.722%"
"26",2,"다이나믹 프로그래밍","1278","45.750%"
"27",2,"다이나믹 프로그래밍","1278","35.851%"
"28",2,"다이나믹 프로그래밍","1278","52.591%"
"29",2,"다이나믹 프로그래밍","1278","58.133%"
"30",2,"다이나믹 프로그래밍","1278","38.867%"
"31",2,"다이나믹 프로그래밍","1278","35.106%"
"32",2,"다이나믹 프로그래밍","1278","64.463%"
"33",2,"다이나믹 프로그래밍","1278","28.168%"
"34",2,"다이나믹 프로그래밍","1278","27.886%"
"35",2,"다이나믹 프로그래밍","1278","41.978%"
"36",2,"다이나믹 프로그래밍","1278","28.021%"
"37",2,"다이나믹 프로그래밍","1278","49.397%"
"38",2,"다이나믹 프로그래밍","1278","36.460%"
"39",2,"다이나믹 프로그래밍","1278","30.172%"
"40",2,"다이나믹 프로그래밍","1278","20.796%"
"41",2,"다이나믹 프로그래밍","1278","29.134%"
"42",2,"다이나믹 프로그래밍","1278","47.718%"
"43",2,"다이나믹 프로그래밍","1278","51.773%"
"44",2,"다이나믹 프로그래밍","1278","36.393%"
"45",2,"다이나믹 프로그래밍","1278","46.989%"
"46",2,"다이나믹 프로그래밍","1278","28.112%"
"47",2,"다이나믹 프로그래밍","1278","41.581%"
"48",2,"다이나믹 프로그래밍","1278","66.135%"
"49",2,"다이나믹 프로그래밍","1278","19.360%"
"50",2,"다이나믹 프로그래밍","1278","43.917%"
"51",2,"다이나믹 프로그래밍","1278","49.401%"
"52",2,"다이나믹 프로그래밍","1278","36.605%"
"53",2,"다이나믹 프로그래밍","1278","33.047%"
"54",2,"다이나믹 프로그래밍","1278","27.902%"
"55",2,"다이나믹 프로그래밍","1278","63.288%"
"56",2,"다이나믹 프로그래밍","1278","55.665%"
"57",2,"다이나믹 프로그래밍","1278","71.921%"
"58",2,"다이나믹 프로그래밍","1278","33.822%"
"59",2,"다이나믹 프로그래밍","1278","33.786%"
"60",2,"다이나믹 프로그래밍","1278","46.853%"
"61",2,"다이나믹 프로그래밍","1278","40.922%"
"62",2,"다이나믹 프로그래밍","1278","33.528%"
"63",2,"다이나믹 프로그래밍","1278","43.342%"
"64",2,"다이나믹 프로그래밍","1278","80.855%"
"65",2,"다이나믹 프로그래밍","1278","63.779%"
"66",2,"다이나믹 프로그래밍","1278","38.481%"
"67",2,"다이나믹 프로그래밍","1278","43.940%"
"68",2,"다이나믹 프로그래밍","1278","34.166%"
"69",2,"다이나믹 프로그래밍","1278","44.435%"
"70",2,"다이나믹 프로그래밍","1278","33.434%"
"71",2,"다이나믹 프로그래밍","1278","63.990%"
"72",2,"다이나믹 프로그래밍","1278","36.559%"
"73",2,"다이나믹 프로그래밍","1278","39.039%"
"74",2,"다이나믹 프로그래밍","1278","35.458%"
"75",2,"다이나믹 프로그래밍","1278","27.930%"
"76",2,"다이나믹 프로그래밍","1278","48.530%"
"77",2,"다이나믹 프로그래밍","1278","76.723%"
"78",2,"다이나믹 프로그래밍","1278","32.882%"
"79",2,"다이나믹 프로그래밍","1278","47.074%"
"80",2,"다이나믹 프로그래밍","1278","39.155%"
"81",2,"다이나믹 프로그래밍","1278","28.536%"
"82",2,"다이나믹 프로그래밍","1278","29.920%"
"83",2,"다이나믹 프로그래밍","1278","56.155%"
"84",2,"다이나믹 프로그래밍","1278","35.929%"
"85",2,"다이나믹 프로그래밍","1278","49.585%"
"86",2,"다이나믹 프로그래밍","1278","46.413%"
"87",2,"다이나믹 프로그래밍","1278","31.221%"
"88",2,"다이나믹 프로그래밍","1278","40.705%"
"89",2,"다이나믹 프로그래밍","1278","28.943%"
"90",2,"다이나믹 프로그래밍","1278","59.450%"
"91",2,"다이나믹 프로그래밍","1278","31.206%"
"92",2,"다이나믹 프로그래밍","1278","38.376%"
"93",2,"다이나믹 프로그래밍","1278","27.185%"
"94",2,"다이나믹 프로그래밍","1278","48.806%"
"95",2,"다이나믹 프로그래밍","1278","44.444%"
"96",2,"다이나믹 프로그래밍","1278","50.413%"
"97",2,"다이나믹 프로그래밍","1278","33.492%"
"98",2,"다이나믹 프로그래밍","1278","55.571%"
"99",2,"다이나믹 프로그래밍","1278","45.926%"
"100",2,"다이나믹 프로그래밍","1278","47.950%"
"101",2,"다이나믹 프로그래밍","1278","34.258%"
"102",2,"다이나믹 프로그래밍","1278","40.893%"
"103",2,"다이나믹 프로그래밍","1278","22.630%"
"104",2,"다이나믹 프로그래밍","1278","40.463%"
"105",2,"다이나믹 프로그래밍","1278","42.306%"
"106",2,"다이나믹 프로그래밍","1278","74.355%"
