"","n","algo_title","problem_num","answer_percent"
"1",4,"그래프 이론","1115","32.578%"
"2",4,"그래프 이론","1115","36.737%"
"3",4,"그래프 이론","1115","38.529%"
"4",4,"그래프 이론","1115","32.421%"
"5",4,"그래프 이론","1115","24.808%"
"6",4,"그래프 이론","1115","43.739%"
"7",4,"그래프 이론","1115","35.131%"
"8",4,"그래프 이론","1115","46.092%"
"9",4,"그래프 이론","1115","54.737%"
"10",4,"그래프 이론","1115","52.679%"
"11",4,"그래프 이론","1115","49.911%"
"12",4,"그래프 이론","1115","34.626%"
"13",4,"그래프 이론","1115","23.179%"
"14",4,"그래프 이론","1115","56.705%"
"15",4,"그래프 이론","1115","30.441%"
"16",4,"그래프 이론","1115","39.634%"
"17",4,"그래프 이론","1115","58.187%"
"18",4,"그래프 이론","1115","45.849%"
"19",4,"그래프 이론","1115","22.882%"
"20",4,"그래프 이론","1115","51.918%"
"21",4,"그래프 이론","1115","25.500%"
"22",4,"그래프 이론","1115","27.886%"
"23",4,"그래프 이론","1115","39.274%"
"24",4,"그래프 이론","1115","56.087%"
"25",4,"그래프 이론","1115","32.250%"
"26",4,"그래프 이론","1115","45.545%"
"27",4,"그래프 이론","1115","30.885%"
"28",4,"그래프 이론","1115","23.031%"
"29",4,"그래프 이론","1115","53.803%"
"30",4,"그래프 이론","1115","38.692%"
"31",4,"그래프 이론","1115","63.219%"
"32",4,"그래프 이론","1115","42.993%"
"33",4,"그래프 이론","1115","26.514%"
"34",4,"그래프 이론","1115","36.077%"
"35",4,"그래프 이론","1115","39.632%"
"36",4,"그래프 이론","1115","38.573%"
"37",4,"그래프 이론","1115","44.062%"
"38",4,"그래프 이론","1115","30.172%"
"39",4,"그래프 이론","1115","20.796%"
"40",4,"그래프 이론","1115","34.467%"
"41",4,"그래프 이론","1115","32.793%"
"42",4,"그래프 이론","1115","43.975%"
"43",4,"그래프 이론","1115","22.459%"
"44",4,"그래프 이론","1115","23.945%"
"45",4,"그래프 이론","1115","24.609%"
"46",4,"그래프 이론","1115","54.583%"
"47",4,"그래프 이론","1115","49.872%"
"48",4,"그래프 이론","1115","25.360%"
"49",4,"그래프 이론","1115","48.536%"
"50",4,"그래프 이론","1115","47.124%"
"51",4,"그래프 이론","1115","49.401%"
"52",4,"그래프 이론","1115","37.028%"
"53",4,"그래프 이론","1115","50.114%"
"54",4,"그래프 이론","1115","35.184%"
"55",4,"그래프 이론","1115","61.764%"
"56",4,"그래프 이론","1115","25.216%"
"57",4,"그래프 이론","1115","27.292%"
"58",4,"그래프 이론","1115","20.820%"
"59",4,"그래프 이론","1115","21.938%"
"60",4,"그래프 이론","1115","39.605%"
"61",4,"그래프 이론","1115","46.853%"
"62",4,"그래프 이론","1115","17.604%"
"63",4,"그래프 이론","1115","41.870%"
"64",4,"그래프 이론","1115","33.641%"
"65",4,"그래프 이론","1115","48.303%"
"66",4,"그래프 이론","1115","35.165%"
"67",4,"그래프 이론","1115","50.111%"
"68",4,"그래프 이론","1115","40.180%"
"69",4,"그래프 이론","1115","39.688%"
"70",4,"그래프 이론","1115","45.654%"
"71",4,"그래프 이론","1115","34.702%"
"72",4,"그래프 이론","1115","52.149%"
"73",4,"그래프 이론","1115","44.426%"
"74",4,"그래프 이론","1115","25.455%"
"75",4,"그래프 이론","1115","34.166%"
"76",4,"그래프 이론","1115","49.360%"
"77",4,"그래프 이론","1115","48.598%"
"78",4,"그래프 이론","1115","62.624%"
"79",4,"그래프 이론","1115","32.494%"
"80",4,"그래프 이론","1115","23.856%"
"81",4,"그래프 이론","1115","34.796%"
"82",4,"그래프 이론","1115","47.086%"
"83",4,"그래프 이론","1115","24.659%"
"84",4,"그래프 이론","1115","58.517%"
"85",4,"그래프 이론","1115","73.522%"
"86",4,"그래프 이론","1115","47.903%"
"87",4,"그래프 이론","1115","28.022%"
"88",4,"그래프 이론","1115","30.618%"
"89",4,"그래프 이론","1115","47.592%"
"90",4,"그래프 이론","1115","22.166%"
"91",4,"그래프 이론","1115","37.667%"
"92",4,"그래프 이론","1115","55.270%"
"93",4,"그래프 이론","1115","42.016%"
"94",4,"그래프 이론","1115","27.899%"
"95",4,"그래프 이론","1115","46.689%"
"96",4,"그래프 이론","1115","32.280%"
