"","n","algo_title","problem_num","answer_percent"
"1",6,"±×·¡ÇÁ Å½»ö","550","32.578%"
"2",6,"±×·¡ÇÁ Å½»ö","550","36.737%"
"3",6,"±×·¡ÇÁ Å½»ö","550","38.529%"
"4",6,"±×·¡ÇÁ Å½»ö","550","32.421%"
"5",6,"±×·¡ÇÁ Å½»ö","550","24.808%"
"6",6,"±×·¡ÇÁ Å½»ö","550","43.739%"
"7",6,"±×·¡ÇÁ Å½»ö","550","35.131%"
"8",6,"±×·¡ÇÁ Å½»ö","550","46.092%"
"9",6,"±×·¡ÇÁ Å½»ö","550","54.737%"
"10",6,"±×·¡ÇÁ Å½»ö","550","49.911%"
"11",6,"±×·¡ÇÁ Å½»ö","550","34.626%"
"12",6,"±×·¡ÇÁ Å½»ö","550","56.705%"
"13",6,"±×·¡ÇÁ Å½»ö","550","30.441%"
"14",6,"±×·¡ÇÁ Å½»ö","550","39.634%"
"15",6,"±×·¡ÇÁ Å½»ö","550","58.187%"
"16",6,"±×·¡ÇÁ Å½»ö","550","45.849%"
"17",6,"±×·¡ÇÁ Å½»ö","550","22.882%"
"18",6,"±×·¡ÇÁ Å½»ö","550","25.500%"
"19",6,"±×·¡ÇÁ Å½»ö","550","45.545%"
"20",6,"±×·¡ÇÁ Å½»ö","550","30.885%"
"21",6,"±×·¡ÇÁ Å½»ö","550","23.031%"
"22",6,"±×·¡ÇÁ Å½»ö","550","53.803%"
"23",6,"±×·¡ÇÁ Å½»ö","550","38.692%"
"24",6,"±×·¡ÇÁ Å½»ö","550","63.219%"
"25",6,"±×·¡ÇÁ Å½»ö","550","26.514%"
"26",6,"±×·¡ÇÁ Å½»ö","550","36.077%"
"27",6,"±×·¡ÇÁ Å½»ö","550","38.573%"
"28",6,"±×·¡ÇÁ Å½»ö","550","44.062%"
"29",6,"±×·¡ÇÁ Å½»ö","550","30.172%"
"30",6,"±×·¡ÇÁ Å½»ö","550","34.467%"
"31",6,"±×·¡ÇÁ Å½»ö","550","32.793%"
"32",6,"±×·¡ÇÁ Å½»ö","550","22.459%"
"33",6,"±×·¡ÇÁ Å½»ö","550","24.609%"
"34",6,"±×·¡ÇÁ Å½»ö","550","54.583%"
"35",6,"±×·¡ÇÁ Å½»ö","550","25.360%"
"36",6,"±×·¡ÇÁ Å½»ö","550","48.536%"
"37",6,"±×·¡ÇÁ Å½»ö","550","49.401%"
"38",6,"±×·¡ÇÁ Å½»ö","550","37.028%"
"39",6,"±×·¡ÇÁ Å½»ö","550","50.114%"
