"","vtitle","vpoint","vreview"
"1","기기괴괴 성형수","6","괜찮긴한데.. 진짜 기괴한 영화였어요.."
"2","뉴 뮤턴트","3","다크 피닉스 >뉴 뮤턴트"
"3","메피스토","10","나쁘지않아요 가족들과 봤어요"
"4","트랜스포머 3","5","갈수록 약해지는 메가트론과 디셉티콘 그리고센티널 프라임 약간 불쌍함."
"5","극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!","10",""
"6","기기괴괴 성형수","1","별점 10점 이해가 안 간다 그냥 너무 노잼 8천원으로 떡볶이나 먹고 싶어요"
"7","강철비2: 정상회담","1","이걸 영화라고 만들엇냐 ㅋㅋㅋㅋ? 국가망신 수준 미달이네 다신 이런 영화 만들지마라 디워 급이네"
"8","가디언즈","10","아이들과 함께 보기에 최고의 영화에요. 이런 영화가 개봉했었는지도 몰랐었네요. 영상, 내용 구성 다 좋아요."
"9","테넷","10","역시 놀란 감독. 음악도 내내 너무 좋았고, 로버트 패틴슨 연기... 더 배트맨을 더욱 기대하게 만드는 영화. 진짜 간만의 역작"
"10","다만 악에서 구하소서","4","그냥 노잼. 보는 내내 한국영화네 라는 생각. 딱히 내가 영화를 잘알고 평론가도 아니지만 그냥 노잼이란 생각만듬. 보는 내내 지루함"
