"","title","point","review"
"1","침묵","10","좋네요 흥행되진 않았지만 스토리 탄탄하고좋아요."
"2","다만 악에서 구하소서","9","재미로 보면 굿. 스토리로 보면 허술."
"3","지니어스 독","10","동물 키워본 사람이라면 공감할 구석이 많은 영화!"
"4","레드: 더 레전드","8","오 재미없을 거 같아서 안보고 있다가 급 보고 싶어서 봤네요. 나쁘지 않은듯. 이병헌 너무 좋아!!!"
"5","기기괴괴 성형수","10","원작 그대로 나온듯.. 진짜 기괴하다 추천"
"6","매트릭스","10","깨어나면 매트릭스가 현실인걸 알것이다"
"7","지니어스 독","10","개가 뭐 이리 연기를 잘해 ㅋㅋ 킬링타임 굿"
"8","다만 악에서 구하소서","10","연기와 액션이 좋음. 재미있게 볼수 있음"
"9","오케이 마담","8","그냥 적당한 킬링타임용."
"10","지니어스 독","9","단순 반려견이 아니라 가족이자 친구인 헨리와 올리버ㅠㅠ 힐링될 수밖에 없쟈나 솔직히"
"11","테넷","10","2틀 연속으로 두번 봤는데 여전히 장면의 이해가 어렵다. 그래도 재미는 있음."
"12","김복남 살인사건의 전말","10","넌. 너무 불친절햐...서영희님 연기최고였습니다다섯번은 본거같네요한국스릴러 역사상이런작품 드물다고 생각합니다"
"13","투모로우랜드","7","그때는 재밌었지만, 지금은 유치하다..."
"14","뉴 뮤턴트","9","볼만하네"
"15","23 아이덴티티","9","제임스 맥어보이는 진짜 ㄹㅈㄷ 안야 너무 예쁨.."
"16","다만 악에서 구하소서","10","황정민 박정민 연기략 좋구요박정민님 연기 상콤합니다이정재님 정말 집착쩌는 살인마 연기장난 아닙니다.영화를 연기력으로 본거 같아요"
"17","테넷","10","영화 다 보고 오빠 왈, “영화를 보러왔는데 왜 영화관을 나가고있지..”"
"18","고스트 라이더 3D : 복수의 화신","1","15분 보다 껐습니다.. 이게 영환가...?"
"19","다만 악에서 구하소서","6","이따위로 만들거면 만들지마라몬 영화가 스토리가 없냐 ㅡㅡ그냥 죽이기 땡"
"20","시간이탈자","6","이 영화의 제일 큰 실수는 80년대 학교상황을 조사하지 않고 제작했다는것.... 1983년부터는 전국이 교복자율화되어서 다 교복을 안 입었습니다. 근데 영화는 교복 계속 입고 있네요. 1983년에 중1이었는데 교복을 고등학교 졸업까지 못 입었습니다. 교복이 폐지되었거든요"
"21","강철비2: 정상회담","1","이걸 영화라고 만들엇냐 ㅋㅋㅋㅋ? 국가망신 수준 미달이네 다신 이런 영화 만들지마라 디워 급이네"
"22","가디언즈","10","아이들과 함께 보기에 최고의 영화에요. 이런 영화가 개봉했었는지도 몰랐었네요. 영상, 내용 구성 다 좋아요."
"23","테넷","10","역시 놀란 감독. 음악도 내내 너무 좋았고, 로버트 패틴슨 연기... 더 배트맨을 더욱 기대하게 만드는 영화. 진짜 간만의 역작"
"24","다만 악에서 구하소서","4","그냥 노잼. 보는 내내 한국영화네 라는 생각. 딱히 내가 영화를 잘알고 평론가도 아니지만 그냥 노잼이란 생각만듬. 보는 내내 지루함"
"25","오! 문희","10","나샘의 연기를 알기에 전혀 정보가 없었지만 믿고 봤다. 아들로 나오는 배우도 연기 알아주기에. 코믹이지만 울기도 했다. 치매를 나름 사실적으로 표현, 치매 노인을 모시는 가족의 고통과 긍정적인 모습.후자는  현실에선 드물꺼 같다. 그래도 좋았다. 희망메세지,정의,가족의 승리"
"26","작전","10","주식을 알고 보니 더 재밌는 그런 영화명화입니다. 10점"
"27","뉴 뮤턴트","1","커플끼리가면 두명이서 볼수있어서 아주좋아요 꼭보세요.온국미이 다봤으면좋겠네요"
"28","오! 문희","9","댓글 알바 아니구요 ㅎㅎ 저는 즐겁게 봤어요 치매를 소재로 해서 조금 마음아픈 부분도 있었지만연기도 잘하시고 웃으며 봤습니다."
"29","흥부: 글로 세상을 바꾼 자","1","감독이 역사책을 읽어 본 적이 없나? 너무나 괴랄한 민중봉기담.대비마마가 섹시댄스 출까봐 내가  걱정해야 하는 이유는?"
"30","기기괴괴 성형수","10","3D라서 좀 부자연스러웠고 성우연기와 조금 어울리지 않는 느낌이지만 재밌게 잘 봤다.마지막 쫓길 때 회상씬은 진짜 슬펐다.원작보다 잘 각색한 부분도 있고 조금 부족한 부분도 있었지만 국산 애니메이션으로 이렇게 고연령층을 위한 작품이 나왔다는 것으로 만족한다.+15세 치고 진짜 잔인하니까 마음 졸이면서 보는 거 추천ㅠ"
"31","내가 사랑했던 모든 남자들에게","10","스토리도 좋았고 ㅠㅠ 연기도 다 좋았다 설렘 폭탄이야... 지금껏 본 하이틴 영화중에 탑투에 들듯 너무 만족스럽고 재밌었다"
"32","테넷","10","진짜..보면서 소름돋았다. 러닝타임이길지만 전혀지루하지않고 대신 영화가 좀 어렵긴하지만 계속 집중해서보게된다."
