"","user_id","order_date","order_item","point","comment"
"1","lo**님","4시간 전","궁중식 순살찜닭/1","5","배달도 양도 맛도 쵝오인데 너무맛있는당면 추가있었으면해요"
"2","ni**님","5시간 전","허니갈릭 닭가슴살 시저샐러드/1","4","무난무난 쉐플리 ㅇㅇ"
"3","qk**님","6시간 전","궁중식 순살찜닭/1","3","뭔가 고기에 양념이 안 스며든 느낌 ㅠㅠ 양은 많아욥"
"4","dk**님","7시간 전","두툼한 통등심 가츠동/1","5","빠른 배달 감사합니다."
"5","ji**님","8시간 전","로스트 치킨과 매콤한 크림리조또/1(사이드 선택(계란말이))","5","맛있어요 ㅋㅋㅋㅋ 넘넘만족해용"
"6","or**님","9시간 전","명란마요 가라아게 콤보/1","4","맛있게 먹었습니다.... 하지만 계속 먹으면 느끼해져서 지방을 좀 제거한 살을 썼으면 더 맛있었을것 같습니다.."
"7","ji**님","9시간 전","궁중식 순살찜닭/1","5","참 맛있고 배달 빨라요"
"8","ki**님","10시간 전","두툼한 통등심 가츠동/1","5","배달도 빠르고 쿠폰써서 가격도 좋았고 맛있게 잘 먹었어요<U+0001F44D> 돈까쓰가 두툼하고 부드럽고 간도 딱~! 맛있게 먹었어요<U+0001F601>"
"9","im**님","10시간 전","비빔명란 가라아게동/1","3","짜요짜 김치를 많이"
"10","av**님","10시간 전","순살 새우치킨 콤보（소이）/1","5","따뜻하게 도착했고 간이 세지도 않고 딱 적당해서 맛있었어요~ 잘 먹었습니다 ♡_♡"
"11","co**님","10시간 전","궁중식 순살찜닭/1(음료 선택(코카콜라))","5","잘먹었습니다 고기냄새도안나고 아주 좋아요"
"12","so**님","10시간 전","로스트 치킨과 매콤한 크림리조또/1","3","안매콤해서 실망 느끼"
"13","ol**님","10시간 전","순살 새우치킨 콤보（양념）/1","5","맛있고 배달 좋았어요!"
"14","hy**님","11시간 전","대패삼겹덮밥/1,명란마요 가라아게 콤보/1","5","<U+0001F44D><U+0001F44D><U+0001F44D><U+0001F44D><U+0001F44D>"
"15","gp**님","11시간 전","씨푸드 나시고랭/1(사이드 선택(명란마요 가라아게))","5","맛있었어요 근데 씨푸드나고렝만 먹었다면 좀 느끼하고 그랬을거같은데 가라아케랑 같이먹으니까 맛있었어요"
"16","lj**님","11시간 전","로스트 치킨과 매콤한 크림리조또/1","5","항상 시켜먹는 메뉴에요^^"
"17","yo**님","12시간 전","모둠나물 제육비빔밥/1","5","잘받았어요 감사합니다"
"18","fi**님","12시간 전","매콤대패삼겹덮밥/1(옵션 추가(된장국추가)),로스트 치킨과 매콤한 크림리조또/1","5","항상 깔끔하고 맛도좋고 비쥬얼도 좋네요."
